L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
2293.74,245.78,1,0.5,321.999,6346.5,2056,6346.5,13.3563,6426.5,7045.52,0.0963237,1763,761,7.35416,1763,4932,0.728845,0,0,0,2.76041,7356
2293.74,245.78,1,0.75,655.468,7442,3231,7442,17.9892,1656.5,7875.54,3.75433,2712,734,10.9616,2712,8872,0.852169,0,0,0,2.85687,8609.25
2293.74,491.56,1,0.5,160.98,6764,9088,6764,6.78256,6135,7125.44,0.161441,5407,26,20.8752,5407,6771,0.645448,0,0,0,1.84937,8181
2293.74,491.56,1,0.75,189.396,7971.5,16334,7972.28,8.68609,399,8411.01,20.0802,9482,36,32.7064,9482,7863,0.983227,0,0,0,1.80215,9598.5
2293.74,983.12,1,0.5,123.971,6851,1636,6851,2.22959,697,7895.83,10.3283,1045,0,9.64176,1045,5217,0.409196,0,0,0,0.626928,8347
2293.74,983.12,1,0.75,582.072,8097.5,4735,8097.5,1.74501,8460.5,10644.1,0.258098,3158,0,25.987,3158,11097,0.670962,0,0,0,0.74052,9822
2293.74,245.78,2,0.5,2188.41,6907.5,33022,6907.5,17.3254,6456,7393.37,0.145193,19434,1988,98.0836,19434,11053,3.51639,1,0,0.031047,5.10784,7623.5
2293.74,245.78,2,0.75,1234.58,8648.25,17516,8648.25,11.4831,7594.5,9313.77,0.226383,10402,1195,57.0097,10402,8921,1.71269,0,0,0,12.0822,9501.5
2293.74,491.56,2,0.5,409.92,8149.5,2677,8150.11,9.44307,7616.5,8284.09,0.0876507,2403,68,23.9004,2403,9101,0.864703,0,0,0,2.17937,8610.5
2293.74,491.56,2,0.75,444.753,10171.8,1807,10171.8,15.3024,9016.25,10229.9,0.134609,1474,79,22.0797,1474,9159,0.793735,0,0,0,2.29618,10398.2
2293.74,983.12,2,0.5,111.284,8276,790,8276,1.76454,8256.5,9107.3,0.103046,549,0,8.42326,549,5559,0.316326,0,0,0,0.532295,8808.5
2293.74,983.12,2,0.75,305.726,10235,1161,10235,2.26344,793.75,10399,12.1011,1063,0,18.5865,1063,11200,0.629917,0,0,0,0.503165,10501.2
