L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
7342.35,850.59,1,0.5,703.32,5167,4723,5167,41.876,4282.5,5443.54,0.271112,4062,454,30.0365,4062,9841,1.10622,3,0,0.100963,6.84374,6286
7342.35,850.59,1,0.75,1242.87,6221.5,7366,6221.5,43.2908,6107.75,6524.12,0.0681705,7041,665,43.8791,7041,12228,1.8004,0,0,0,7.41461,7475.5
7342.35,1701.17,1,0.5,212.193,5422,2424,5422,9.92012,1405.5,5957.49,3.2387,1635,6,27.3595,1635,8089,0.46413,0,0,0,4.32227,6691.5
7342.35,1701.17,1,0.75,709.722,6563,2181,6563,32.717,354.75,6801.29,18.1721,1899,8,32.4543,1899,10038,0.660376,3,0,0.036036,5.05951,7915.75
7342.35,3402.34,1,0.5,3504.17,5422,13559,5422,15.7239,5502.5,5891.13,0.0706276,,0,201.465,,45766,1.96911,0,0,0,1.14105,7137.5
7342.35,3402.34,1,0.75,>3600,(0.00743356),11108,6591.64,9.39298,1480.5,7075.29,3.77899,8525,0,170.529,8525,35717,2.09141,0,0,0,1.20895,8385
7342.35,850.59,2,0.5,>3600,(0.248513),6904,6050.92,44.9787,1584.5,6224.51,2.92838,6941,359,47.4656,6941,14421,2.22558,4,0,0.147503,17.2827,6628
7342.35,850.59,2,0.75,1435.73,7404,7905,7404,87.2932,7187.5,7859.88,0.0935487,5684,326,68.9766,5684,7677,1.88732,5,0,0.176792,9.22811,8250
7342.35,1701.17,2,0.5,258.608,6456,2228,6456,12.8868,5798.5,6613.88,0.14062,1746,1,24.2734,1746,7893,0.377284,0,0,0,4.61602,7019.5
7342.35,1701.17,2,0.75,114.523,8114,962,8114,15.2905,2039.5,8281,3.06031,753,1,14.5106,753,3642,0.348274,0,0,0,5.20328,8517.75
7342.35,3402.34,2,0.5,2195.28,6456.5,7057,6456.5,34.6815,6529.5,6716.76,0.0286794,4710,0,119.107,4710,18625,1.49117,0,0,0,1.07334,7379.5
7342.35,1701.17,4,0.5,191.61,6604.5,631,6604.5,33.2732,6423,6662.26,0.037251,562,2,11.1817,562,4472,0.50699,0,0,0,5.73098,7019.5
7342.35,1701.17,4,0.75,100.734,8315.25,823,8315.25,14.6202,8265,8359.17,0.0113938,636,2,6.36926,636,4205,0.316243,0,0,0,4.88567,8518.75
7342.35,3402.34,4,0.5,>3600,(0.0199084),4414,6690.6,15.9645,1123,6764.72,5.02379,4359,0,101.979,4359,28532,1.24391,1,0,0.006886,1.10769,7379.5
7342.35,3402.34,4,0.75,>3600,(0.00372004),4819,8337.65,4.53786,2510.5,8427.07,2.35673,4230,0,97.6971,4230,28317,1.35026,0,0,0,1.01918,8702.75
7342.35,850.59,10,0.5,2446.22,6148,9420,6148.55,43.07,6035.5,6412.98,0.0625432,6766,1,14.9998,6766,18007,1.65612,1,0,0.045712,10.9088,6643
7342.35,1701.17,10,0.5,194.949,6604.5,1171,6604.5,21.4231,6640,6685.71,0.00688339,1027,1,7.8845,1027,6010,0.460004,0,0,0,5.38644,7019.5
7342.35,1701.17,10,0.75,252.052,8315.25,1060,8315.25,20.7941,7506.25,8359,0.113605,899,1,7.8658,899,7260,0.439653,0,0,0,5.21271,8518.75
7342.35,3402.34,10,0.5,780.073,6604.5,10400,6604.5,16.835,2363.5,6747.95,1.85506,6416,0,83.1902,6416,22980,1.17762,0,0,0,1.12172,7379.5
14684.7,850.59,1,0.5,18.2387,8249.5,74,8249.5,17.0809,8246.5,8253.44,0.000840973,90,3,0.35352,90,1361,0.445482,23,56,0.656366,5.24346,8668
14684.7,850.59,1,0.75,88.7513,9137.75,388,9138.66,40.6394,685.25,9149.56,12.3521,358,11,1.67949,358,3515,1.46576,3,6,0.102047,5.26536,9343.25
14684.7,1701.17,1,0.5,33.1551,8249.5,217,8249.5,22.257,7892.5,8298.47,0.0514374,169,2,1.84396,169,1687,0.612333,0,0,0,4.26671,8796.5
14684.7,1701.17,1,0.75,27.544,9137.75,85,9137.75,24.7168,9108.25,9140.33,0.00352223,105,0,1.31858,105,1564,0.469194,25,19,0.753318,4.37604,9411.25
14684.7,3402.34,1,0.5,67.5118,8249.5,916,8249.5,7.17405,375,8501.98,21.6719,633,0,17.8119,633,2889,0.459564,0,0,0,1.03685,8883
14684.7,3402.34,1,0.75,203.291,9137.75,223,9138.6,4.48418,7034,9559.87,0.359094,201,0,7.13507,201,5202,0.704366,0,0,0,1.21116,9454.5
14684.7,850.59,2,0.5,27.4589,8249.5,28,8249.5,27.0061,8249.5,8253.11,0.000438188,77,3,0.203092,77,1399,0.556761,29,0,0.621672,5.67653,8668
