L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
7342.35 850.59 1 0.5 1221.3 5167 1240 5167 466.995 4256.5 5404.12 0.269615 1036 3599 0.870054 9 0 0.337467 29.8419 6286
7342.35 850.59 1 0.75 882.65 6221.5 1359 6221.5 492.36 5749.5 6516.43 0.13339 1006 3565 0.900288 7 25 0.258446 39.7032 7475.5
7342.35 1701.17 1 0.5 892.72 5422 1937 5422 578.739 506 5642.95 10.1521 1325 3993 0.357694 1 0 0.01343 33.9782 6691.5
7342.35 1701.17 1 0.75 843.784 6563 3422 6563 708.578 6347.75 6760.34 0.0649981 2114 6087 0.603349 28 40 0.373904 18.9866 7915.75
7342.35 3402.34 1 0.75 >3600 (0.0886139) 3294 6814.18 52.5469 1036 7018.44 5.77455 3307 24131 1.48534 1 0 0.007877 6.31264 8385
7342.35 850.59 2 0.5 >3600 (0.0232585) 4155 5938.99 688.141 5726 6199.55 0.0827022 3443 12179 1.00782 15 10 0.558056 245.922 6614.5
7342.35 850.59 2 0.75 >3600 (0.156787) 1308 7768.4 561.022 6715.5 7832.39 0.166315 1303 13257 0.627069 15 2 0.560924 346.038 8217.5
7342.35 1701.17 2 0.5 993.521 6456 699 6456 872.128 6117.5 6533.66 0.0680278 625 2505 0.535209 19 0 0.245398 86.6534 7019.5
7342.35 1701.17 2 0.75 1035.73 8114 930 8114 443.169 7882.5 8202.51 0.0405982 830 3916 0.363913 3 70 0.023046 537.959 8517.75
7342.35 3402.34 2 0.5 >3600 (0.00694503) 4087 6495.8 31.9554 1679 6775.9 3.03568 3266 17596 0.624768 0 0 0 5.20157 7379.5
7342.35 850.59 4 0.5 >3600 (0.0899832) 1508 6322.45 625.056 5800.5 6366.47 0.0975725 1542 11008 0.741203 27 3 1.29363 104.669 6643
7342.35 850.59 4 0.75 >3600 (0.0200845) 1502 8122.68 488.636 6024 8189.93 0.35955 1488 8156 0.869272 5 0 0.192048 149.539 8291.5
