L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
2555.42,248.23,1,0.5,453.763,5568.5,1839,5568.5,75.403,4721,5667.27,0.200438,1712,137,14.6893,1712,8655,1.77309,7,0,0.168613,4.46638,5922.5
2555.42,248.23,1,0.75,1116.24,6545.5,1941,6545.5,33.5096,6376.25,6687.29,0.0487812,1861,132,11.8534,1861,10241,1.44951,2,2,0.045401,4.64344,6947.25
2555.42,496.46,1,0.5,723.365,6006.5,1678,6006.5,23.2187,5226,6147.31,0.176294,1565,0,24.0216,1565,12708,1.40149,0,0,0,3.52538,6669
2555.42,496.46,1,0.75,516.146,7152,1268,7152,32.238,6773.75,7331.08,0.0822779,1166,3,15.8534,1166,9492,1.69985,0,0,0,3.76766,7796.25
2555.42,992.92,1,0.5,1061.98,6006.5,1821,6006.5,3.06247,866.5,6645.79,6.66969,1712,0,38.7629,1712,14351,1.3133,0,0,0,0.731378,6810.5
2555.42,992.92,1,0.75,314.664,7152,1439,7152,3.32311,1165,7784.74,5.68218,1123,0,23.7904,1123,7906,0.542491,0,0,0,0.694524,7954
2555.42,248.23,2,0.5,466.14,5852,2415,5852,38.1282,5779.5,5981.14,0.0348886,1983,78,12.034,1983,6216,1.09299,0,0,0,3.88548,6066
2555.42,248.23,2,0.75,2009.87,7109.25,4072,7109.25,46.6036,6869,7266.67,0.0578942,3345,317,28.9802,3345,12782,1.75097,0,0,0,7.88965,7343.5
2555.42,496.46,2,0.5,2479.52,6478.5,5283,6478.5,24.5353,6202.5,6565.63,0.0585457,4825,3,70.1738,4825,28197,2.46108,0,0,0,3.76224,6758
2555.42,496.46,2,0.75,306.719,7843.25,1005,7844.01,37.2564,7450.5,7887.6,0.0586672,925,0,15.2656,925,7839,1.38229,1,0,0.010392,2.87559,7981.75
2555.42,992.92,2,0.5,654.007,6478.5,2187,6478.5,3.64174,6217,6678.55,0.0742404,1882,0,51.1675,1882,15532,0.987717,0,0,0,0.711283,6892.5
2555.42,992.92,2,0.75,1393.53,7843.25,1773,7843.25,3.27136,1503.25,8019.37,4.33469,1627,0,47.6908,1627,15788,0.81253,0,0,0,0.698805,8050.25
2555.42,248.23,4,0.5,462.709,5935,1365,5935,24.0369,5908,6003.74,0.016205,1149,41,3.2041,1149,9577,0.788482,3,1,0.060347,4.16856,6065.93
2555.42,248.23,4,0.75,432.767,7281,5485,7281.18,24.8789,3951.5,7373.06,0.865889,3827,294,20.5191,3827,10634,1.1715,1,17,0.029774,15.7896,7386
2555.42,496.46,4,0.5,2171.73,6478.5,2883,6478.5,21.1164,6323.5,6572.13,0.0393178,2540,1,23.2972,2540,20008,1.51054,0,0,0,3.50482,6758
2555.42,496.46,4,0.75,>3600,(0.0798762),3608,7853.94,18.8496,6422,7897.11,0.229697,3544,1,33.1213,3544,35335,1.94876,0,0,0,2.89535,7981.75
2555.42,992.92,4,0.5,1744.48,6478.5,3084,6478.5,3.35327,1799,6838.85,2.80148,2654,0,48.4254,2654,22193,1.69776,0,0,0,0.714912,6892.5
2555.42,992.92,4,0.75,1718.05,7843.25,3394,7843.25,2.48223,7873.25,8193.19,0.0406361,2978,0,58.3496,2978,24746,1.74781,0,0,0,0.659562,8050.25
2555.42,248.23,10,0.5,49.5472,5971,175,5971,26.5398,5653,5998.97,0.061201,134,1,0.244813,134,2250,0.782994,2,7,0.041626,4.14143,6066
2555.42,248.23,10,0.75,229.839,7315.75,2461,7316.48,41.1414,7141.25,7364.33,0.0312385,1965,9,4.5428,1965,7946,0.639998,5,4,0.144993,10.5811,7386
2555.42,496.46,10,0.75,893.209,7843.25,3031,7844,18.2086,6542.75,7883.08,0.204857,2593,0,13.269,2593,14877,1.82538,2,0,0.019601,2.78532,7981.75
2555.42,992.92,10,0.5,>3600,(0.0423673),4142,6518.44,3.14236,6449.5,6657.77,0.0322922,4041,0,50.872,4041,34261,1.71013,0,0,0,0.669949,6892.5
5110.84,248.23,2,0.75,2064.5,8463.75,2048,8464.45,23.099,3923,8503.12,1.1675,1960,10,4.32819,1960,27036,2.75959,1,0,0.040099,3.15797,8590
5110.84,496.46,2,0.5,2066.69,7981,2410,7981,14.5067,1701,8034.86,3.72361,2100,0,10.5049,2100,36162,3.47964,0,0,0,3.46653,8162.5
5110.84,248.23,4,0.75,947.602,8463.75,1136,8464.36,24.0368,3343.25,8501.71,1.54295,1122,3,1.73849,1122,11656,1.81077,2,0,0.073583,3.87269,8589.5
5110.84,248.23,10,0.75,2449.43,8463.75,1944,8463.82,61.6128,8473.25,8532.63,0.00700805,1898,2,2.24791,1898,23445,3.34096,0,0,0,3.04244,8590
