L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Biter Bcuts time_slave Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2555.42 248.23 1 0.5 442.443 5568.5 2100 5568.5 30.2883 5212.5 5699.07 0.093346 1990 177 12.3384 1990 6483 1.38332 1 0 0.020897 4.54321 5922.5
2555.42 248.23 1 0.75 125.1 6545.5 1562 6546.1 28.099 6222.75 6692.66 0.0755145 1123 64 5.9498 1123 3308 1.13733 0 0 0 4.52188 6947.25
L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Biter Bcuts time_slave Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2555.42 496.46 1 0.5 113.064 6006.5 555 6006.5 12.56 1370 6301.4 3.59957 396 0 7.20049 396 4117 0.476311 0 0 0 3.37582 6669
2555.42 496.46 1 0.75 656.163 7152 2461 7152 34.5244 6839.25 7298.39 0.0671327 2204 1 22.5735 2204 10935 1.55874 1 23 0.015913 3.40803 7796.25
2555.42 992.92 1 0.5 1053.25 6006.5 1821 6006.5 3.31977 866.5 6645.79 6.66969 1712 0 39.9218 1712 14351 1.372 0 0 0 0.726061 6810.5
2555.42 992.92 1 0.75 310.961 7152 1439 7152 3.55283 1165 7784.74 5.68218 1123 0 23.161 1123 7906 0.56074 0 0 0 0.667185 7954
2555.42 248.23 2 0.5 859.029 5852 4277 5852 36.9794 5143 5972.62 0.16131 3510 199 14.9843 3510 9410 1.65189 0 0 0 3.88064 6066
2555.42 248.23 2 0.75 1813.26 7109.25 5927 7109.88 42.0547 6976.75 7271.62 0.0422643 4600 440 33.3465 4600 14952 2.14244 0 0 0 7.83992 7343.5
2555.42 496.46 2 0.5 2276.09 6478.5 3565 6478.5 15.6087 6027 6565.79 0.0893957 3379 1 49.0404 3379 27146 2.08945 2 0 0.021085 3.56539 6758
2555.42 496.46 2 0.75 890.055 7843.25 2654 7843.3 22.0692 5749.75 7890.09 0.37225 2346 1 32.5928 2346 14864 1.4554 0 0 0 2.78217 7981.75
2555.42 992.92 2 0.5 646.916 6478.5 2187 6478.5 3.55962 6217 6678.55 0.0742404 1882 0 49.4967 1882 15532 0.951911 0 0 0 0.705637 6892.5
2555.42 992.92 2 0.75 1396.33 7843.25 1773 7843.25 3.22958 1503.25 8019.37 4.33469 1627 0 47.7153 1627 15788 0.82109 0 0 0 0.671254 8050.25
2555.42 248.23 4 0.5 458.71 5935 1853 5935.07 26.6488 5877 5995.71 0.0201984 1680 55 3.96074 1680 10279 1.07907 3 0 0.059226 4.22167 6065.93
2555.42 248.23 4 0.75 2244.24 7281 6134 7281.02 23.4366 7265.75 7369.69 0.0143057 5081 421 26.1184 5081 23849 1.84176 3 0 0.105678 15.333 7386
2555.42 496.46 4 0.5 927.384 6478.5 2497 6478.5 26.6324 5069 6596.3 0.301303 2240 0 17.1961 2240 18209 1.16176 0 0 0 3.53918 6758
2555.42 496.46 4 0.75 773.63 7843.25 1674 7843.96 39.5793 7516.25 7890.99 0.0498573 1547 1 13.6074 1547 10917 1.8573 0 0 0 2.8477 7981.75
2555.42 992.92 4 0.5 1740.08 6478.5 3084 6478.5 3.22151 1799 6838.85 2.80148 2654 0 47.0551 2654 22193 1.61853 0 0 0 0.698559 6892.5
2555.42 992.92 4 0.75 1704.42 7843.25 3394 7843.25 2.31662 7873.25 8193.19 0.0406361 2978 0 54.9438 2978 24746 1.59574 0 0 0 0.630911 8050.25
2555.42 248.23 10 0.5 43.2052 5971 149 5971 21.4516 5913.5 6004.77 0.0154346 132 1 0.207234 132 2341 1.2683 0 0 0 3.94747 6066
2555.42 248.23 10 0.75 156.996 7315.75 1949 7315.75 31.2567 1961.75 7375.47 2.75964 1484 2 3.96436 1484 4667 0.929608 3 0 0.089089 10.8477 7386
2555.42 496.46 10 0.5 2250.44 6478.5 4754 6478.5 10.5375 3326 6586.62 0.980344 4127 0 21.8285 4127 26896 2.90775 0 0 0 3.6244 6758
2555.42 496.46 10 0.75 474.425 7843.25 2141 7843.25 15.5289 7505.5 7888.56 0.0510375 1871 1 9.4946 1871 14609 1.22522 0 0 0 2.88531 7981.75
2555.42 992.92 10 0.5 >3600 (0.0416844) 4163 6514.17 3.32784 6449.5 6657.77 0.0322922 4061 0 50.4271 4061 34293 1.73063 0 0 0 0.679853 6892.5
5110.84 248.23 1 0.5 2339.87 7758.5 3015 7758.5 40.9974 4001.5 7820.74 0.954451 2595 54 6.12566 2595 33765 2.62924 2 0 0.058931 4.03325 7988
5110.84 496.46 1 0.5 1128.13 7981 1038 7981 11.491 7687 8097.64 0.0534197 887 0 8.06293 887 18649 2.10862 0 0 0 3.92291 8162.5
5110.84 248.23 2 0.75 725.34 8463.75 1516 8463.83 37.2653 7157.5 8513.1 0.189396 1454 11 2.70055 1454 11542 2.32328 0 0 0 3.03757 8590
5110.84 496.46 2 0.75 939.729 8594.5 1804 8594.96 13.5346 8412.75 8653.45 0.0286112 1432 1 6.5598 1432 25423 1.54886 0 0 0 3.71462 8682.25
5110.84 248.23 4 0.5 698.242 7761.5 3141 7762.18 23.1457 7440 7833.35 0.0528692 2474 1 2.45441 2474 23281 4.09312 3 0 0.102108 3.85705 7988
5110.84 248.23 4 0.75 436.791 8463.75 1018 8463.75 17.9594 8467 8564.92 0.0115651 857 1 1.18583 857 9690 1.82765 0 0 0 3.93085 8589.5
5110.84 496.46 4 0.75 1179.87 8594.5 1585 8594.5 13.4612 2453.75 8626.2 2.51552 1340 0 4.96271 1340 22070 2.13574 0 0 0 3.90101 8682.25
5110.84 248.23 10 0.5 2683.8 7761.5 5073 7761.99 40.9561 5435 7874.76 0.448898 3854 1 3.53798 3854 53353 5.05964 0 0 0 3.85591 7988
5110.84 248.23 10 0.75 1694.9 8463.75 1563 8463.75 60.2627 8473.25 8499.69 0.00312057 1518 1 1.79337 1518 21185 3.05711 2 16 0.06952 3.00086 8590
5110.84 992.92 10 0.75 1338.71 8594.5 2569 8595.34 4.98386 4812.5 8639.98 0.795321 2293 1 13.4572 2293 35693 2.41537 1 64 0.029769 0.749053 8708.5
7666.26 248.23 1 0.75 519.366 9015.25 1536 9016.13 22.8034 8932.75 9063.56 0.0146433 1480 2 1.83564 1480 8227 4.04355 0 0 0 2.75522 9054.75
7666.26 496.46 1 0.5 740.532 8822.5 1879 8822.5 25.0982 8470.5 8890.35 0.0495665 1632 0 6.87432 1632 12097 4.14892 0 0 0 3.81495 8917
7666.26 248.23 2 0.5 1213.89 8822.5 1655 8822.5 17.1248 8352 8919.88 0.0679928 1547 1 1.54296 1547 13607 3.80235 0 0 0 2.65597 8901.5
7666.26 496.46 2 0.5 1271.82 8822.5 1739 8822.5 48.1174 6738.5 8879.89 0.317784 1561 0 5.60599 1561 10737 5.10961 0 0 0 3.72604 8917
7666.26 496.46 2 0.75 2360 9015.25 3430 9016.09 29.4497 9001.75 9043.56 0.00464415 3283 0 10.7068 3283 24486 4.68285 0 0 0 3.91277 9062.5
7666.26 248.23 4 0.75 1134.42 9015.25 2538 9015.88 17.2446 8928.5 9063.56 0.0151263 2476 1 2.14611 2476 14255 3.70556 0 0 0 2.76393 9054.75
7666.26 496.46 4 0.5 563.63 8822.5 1754 8822.5 44.6272 5199.5 8881.86 0.708215 1409 0 3.84515 1409 8524 4.3992 1 0 0.043313 4.34688 8917
7666.26 992.92 4 0.5 1347.9 8822.5 1921 8822.5 4.38777 8519 8949.12 0.0504896 1719 0 8.27244 1719 13266 3.32234 0 0 0 1.43845 8917
7666.26 992.92 4 0.75 1210.85 9015.25 2068 9016.01 5.91807 8993.25 9043.91 0.00563263 1940 0 10.7503 1940 15091 4.32898 0 0 0 1.5067 9062.25
