L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap
2555.42 248.23 1 0.5 436.27 5568.5 2100 5568.5 28.4303 5212.5 5699.07 0.093346
2555.42 248.23 1 0.75 125.556 6545.5 1562 6546.1 28.1362 6222.75 6692.66 0.0755145
2555.42 496.46 1 0.5 111.743 6006.5 555 6006.5 12.2731 1370 6301.4 3.59957
2555.42 496.46 1 0.75 656.335 7152 2461 7152 34.7071 6839.25 7298.39 0.0671327
2555.42 992.92 1 0.5 1072.88 6006.5 1821 6006.5 3.0781 866.5 6645.79 6.66969
2555.42 992.92 1 0.75 325.251 7152 1439 7152 4.00543 1165 7784.74 5.68218
2555.42 248.23 2 0.5 862.417 5852 4277 5852 37.6851 5143 5972.62 0.16131
2555.42 248.23 2 0.75 1797.2 7109.25 5927 7109.88 48.4859 6976.75 7271.62 0.0422643
2555.42 496.46 2 0.5 2254.24 6478.5 3565 6478.5 15.5453 6027 6565.79 0.0893957
2555.42 496.46 2 0.75 870.268 7843.25 2654 7843.3 22.1215 5749.75 7890.09 0.37225
2555.42 992.92 2 0.5 642.097 6478.5 2187 6478.5 3.4261 6217 6678.55 0.0742404
2555.42 992.92 2 0.75 1355.72 7843.25 1773 7843.25 3.0618 1503.25 8019.37 4.33469
2555.42 248.23 4 0.5 448.816 5935 1853 5935.07 26.7868 5877 5995.71 0.0201984
2555.42 248.23 4 0.75 2208.17 7281 6134 7281.02 23.4352 7265.75 7369.69 0.0143057
2555.42 496.46 4 0.5 968.401 6478.5 2497 6478.5 25.0986 5069 6596.3 0.301303
2555.42 496.46 4 0.75 764.244 7843.25 1674 7843.96 37.8386 7516.25 7890.99 0.0498573
2555.42 992.92 4 0.5 1771.96 6478.5 3084 6478.5 3.01351 1799 6838.85 2.80148
2555.42 992.92 4 0.75 1744.58 7843.25 3394 7843.25 2.40457 7873.25 8193.19 0.0406361
2555.42 248.23 10 0.5 41.5894 5971 149 5971 20.0268 5913.5 6004.77 0.0154346
2555.42 248.23 10 0.75 156.459 7315.75 1949 7315.75 30.151 1961.75 7375.47 2.75964
2555.42 496.46 10 0.5 2323.78 6478.5 4754 6478.5 10.5646 3326 6586.62 0.980344
2555.42 496.46 10 0.75 524.575 7843.25 2141 7843.25 16.4229 7505.5 7888.56 0.0510375
2555.42 992.92 10 0.5 >3600 (0.0423673) 4141 6518.44 3.10224 6449.5 6657.77 0.0322922
- - - - - - - - - - - -
5110.84 248.23 1 0.5 2315.33 7758.5 3015 7758.5 39.2731 4001.5 7820.74 0.954451
- - - - - - - - - - - -
5110.84 496.46 1 0.5 1101.66 7981 1038 7981 11.3046 7687 8097.64 0.0534197
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
5110.84 248.23 2 0.75 750.283 8463.75 1516 8463.83 35.3859 7157.5 8513.1 0.189396
- - - - - - - - - - - -
5110.84 496.46 2 0.75 939.44 8594.5 1804 8594.96 13.2378 8412.75 8653.45 0.0286112
- - - - - - - - - - - -
- - - - - - - - - - - -
5110.84 248.23 4 0.5 757.808 7761.5 3141 7762.18 23.2122 7440 7833.35 0.0528692
5110.84 248.23 4 0.75 424.859 8463.75 1018 8463.75 16.8176 8467 8564.92 0.0115651
- - - - - - - - - - - -
5110.84 496.46 4 0.75 1174.86 8594.5 1585 8594.5 13.422 2453.75 8626.2 2.51552
- - - - - - - - - - - -
- - - - - - - - - - - -
5110.84 248.23 10 0.5 2641.79 7761.5 5073 7761.99 40.6878 5435 7874.76 0.448898
5110.84 248.23 10 0.75 1698.42 8463.75 1563 8463.75 71.8714 8473.25 8499.69 0.00312057
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
5110.84 992.92 10 0.75 1414.28 8594.5 2569 8595.34 4.56537 4812.5 8639.98 0.795321
- - - - - - - - - - - -
7666.26 248.23 1 0.75 500.589 9015.25 1536 9016.13 20.3751 8932.75 9063.56 0.0146433
7666.26 496.46 1 0.5 740.407 8822.5 1879 8822.5 25.2997 8470.5 8890.35 0.0495665
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
7666.26 248.23 2 0.5 1265.37 8822.5 1655 8822.5 16.306 8352 8919.88 0.0679928
- - - - - - - - - - - -
7666.26 496.46 2 0.5 1216.78 8822.5 1739 8822.5 44.173 6738.5 8879.89 0.317784
7666.26 496.46 2 0.75 2334.67 9015.25 3430 9016.09 28.6526 9001.75 9043.56 0.00464415
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
7666.26 248.23 4 0.75 1152.47 9015.25 2538 9015.88 16.1131 8928.5 9063.56 0.0151263
7666.26 496.46 4 0.5 555.671 8822.5 1754 8822.5 42.122 5199.5 8881.86 0.708215
- - - - - - - - - - - -
7666.26 992.92 4 0.5 1410.48 8822.5 1921 8822.5 4.43586 8519 8949.12 0.0504896
7666.26 992.92 4 0.75 1181.54 9015.25 2068 9016.01 5.40636 8993.25 9043.91 0.00563263
- - - - - - - - - - - -
7666.26 248.23 10 0.75 2042.82 9015.25 2194 9015.94 23.5114 8780.5 9075.19 0.0335615
7666.26 496.46 10 0.5 1075.43 8822.5 1184 8822.5 43.4782 8783 8881.09 0.0111686
7666.26 496.46 10 0.75 1871.04 9015.25 2399 9015.91 149.32 9025 9044.13 0.00211952
- - - - - - - - - - - -
7666.26 992.92 10 0.75 1869.64 9015.25 1760 9016.12 2.28513 7471.25 9109.03 0.219211
