L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
1632.73,179.66,1,0.5,208.491,3795,3288,3795,8.73399,3558,4027.65,0.132,2148,286,10.7487,2148,5573,0.490171,5,40,0.072992,3.31722,4262.5
1632.73,179.66,1,0.75,1465.31,4462.75,21113,4462.75,6.17137,1267.75,4830.14,2.81001,11807,620,51.5867,11807,15512,1.50556,0,0,0,3.71357,5041.25
1632.73,359.31,1,0.5,149.135,4302.5,715,4302.5,7.01426,569,4389.16,6.71381,639,13,7.29183,639,5669,0.348928,3,0,0.032604,1.53783,4775
1632.73,359.31,1,0.75,23.0374,5146.25,562,5146.25,10.6972,4862.75,5215.74,0.0725897,439,12,5.36174,439,2755,0.25054,10,17,0.134295,1.57333,5683.25
1632.73,718.62,1,0.5,870.92,4302.5,1853,4302.5,1.28669,1134,5354.35,3.72165,1682,0,19.6752,1682,13892,0.323237,0,0,0,0.508276,4887
1632.73,718.62,1,0.75,1010.05,5146.25,3219,5146.25,1.31349,5255,6263.44,0.1919,2945,0,30.9205,2945,19397,0.429737,0,0,0,0.647838,5806.5
1632.73,179.66,2,0.5,3128.1,4249,10808,4249,19.3322,3842.5,4474.67,0.164519,8026,594,40.9506,8026,23146,1.18139,7,0,0.120477,7.49653,4652.5
1632.73,359.31,2,0.5,16.2289,5002,231,5002,14.5052,4986.5,5015.16,0.00574688,196,2,1.32247,196,1087,0.157681,10,0,0.144638,1.91799,5183.5
1632.73,359.31,2,0.75,27.9884,6207.25,151,6207.25,10.9687,5838,6235.45,0.0680806,139,9,2.08697,139,1313,0.291697,0,0,0,1.71997,6340
1632.73,718.62,2,0.5,72.468,5002,1153,5002,1.24012,4975,5552.31,0.116041,791,0,12.1162,791,4226,0.18013,0,0,0,0.58745,5294.5
1632.73,718.62,2,0.75,52.1223,6207.25,626,6207.25,2.40169,2085.75,6439.16,2.08721,410,0,7.04817,410,3908,0.271473,0,0,0,0.743228,6391
1632.73,179.66,3,0.5,>3600,(2.56978),5511,4526.49,14.4698,1268,4641.95,2.66084,5498,495,18.5771,5498,19717,0.877426,2,4,0.029558,6.8738,4748
1632.73,179.66,3,0.75,>3600,(0.220308),4315,5881.89,6.6055,1194.75,6016.29,4.0356,4310,260,13.983,4310,13014,0.729888,0,0,0,5.86724,6091.75
1632.73,359.31,3,0.5,23.5989,5069.5,293,5069.5,5.70335,4845.5,5100.07,0.0525365,248,3,1.86578,248,1540,0.210419,0,0,0,1.64905,5205.5
1632.73,359.31,3,0.75,21.7905,6285.25,103,6285.25,9.31147,6190.25,6302.98,0.018211,108,4,1.04705,108,1066,0.19574,0,0,0,1.57911,6353.25
1632.73,718.62,3,0.5,116.62,5069.5,889,5069.5,1.30466,5030,5552.31,0.103838,657,0,11.1698,657,5378,0.270884,0,0,0,0.559138,5295
1632.73,718.62,3,0.75,124.089,6285.25,1380,6285.25,1.1481,6216.25,6517.6,0.0484782,1069,0,14.018,1069,5906,0.191601,0,0,0,0.529916,6393.25
1632.73,359.31,8,0.5,19.9125,5069.5,330,5069.5,18.3247,5066.5,5081.09,0.00287876,227,0,0.573572,227,1303,0.173374,11,111,0.227066,1.76684,5205.5
1632.73,359.31,8,0.75,23.7933,6285.25,304,6285.25,15.3235,6259,6304.21,0.0072231,248,0,0.713399,248,1395,0.252847,0,0,0,1.72267,6353.25
1632.73,718.62,8,0.5,25.2955,5069.5,953,5069.5,1.24905,5153.5,5552.31,0.0773855,591,0,4.19209,591,2886,0.137908,0,0,0,0.526216,5295
1632.73,718.62,8,0.75,118.394,6285.25,1210,6285.25,1.17059,6194.25,6517.6,0.052202,964,0,8.01861,964,5561,0.28536,0,0,0,0.631746,6393.25
3265.45,179.66,1,0.75,2606.06,6805.25,3501,6805.25,6.22698,576.75,6838.6,10.8571,3283,172,14.2676,3283,34389,1.29779,3,0,0.06582,1.69418,6892
3265.45,359.31,1,0.5,1288.67,6154.5,3038,6154.5,8.29348,5591.5,6214.15,0.111356,2798,2,24.3427,2798,13477,1.28637,4,0,0.057992,1.8205,6361.5
3265.45,359.31,1,0.75,1190.14,6827.75,2264,6828.05,14.0066,6402.25,6859.51,0.0714221,1808,3,17.2019,1808,15163,1.36295,6,29,0.102011,1.54953,6931.25
3265.45,718.62,1,0.5,889.736,6154.5,4967,6154.5,1.72128,474.5,6466.36,12.6277,2915,0,35.1394,2915,16834,0.752994,0,0,0,0.665502,6348.5
3265.45,718.62,1,0.75,809.392,6827.75,3052,6827.75,1.32189,625.5,7052.96,10.2757,2375,0,28.251,2375,18640,0.849949,0,0,0,0.79619,6924.75
