L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Biter Bcuts time_slave Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
1632.73 179.66 1 0.5 95.8249 3795 4039 3795 11.116 3688.5 4025.37 0.0913291 2734 294 11.2571 2734 5230 0.454425 7 14 0.102843 3.16596 4262.5
1632.73 179.66 1 0.75 944.577 4462.75 21090 4462.75 17.7729 469.5 4841.76 9.31259 11234 616 50.7746 11234 10502 1.55343 0 0 0 3.8361 5041.25
1632.73 359.31 1 0.5 26.019 4302.5 282 4302.5 6.07102 3113 4384.65 0.408497 243 15 3.20061 243 1668 0.304001 0 0 0 1.52739 4775
1632.73 359.31 1 0.75 25.0498 5146.25 153 5146.25 23.6325 5146.25 5174.37 0.00546357 173 2 1.39223 173 1474 0.394018 30 71 0.354524 1.53395 5683.25
1632.73 718.62 1 0.5 856.481 4302.5 1853 4302.5 1.34571 1134 5354.35 3.72165 1682 0 20.2851 1682 13892 0.341979 0 0 0 0.513634 4887
1632.73 718.62 1 0.75 981.109 5146.25 3219 5146.25 1.31771 5255 6263.44 0.1919 2945 0 29.7919 2945 19397 0.414263 0 0 0 0.652661 5806.5
1632.73 179.66 2 0.5 >3600 (0.306459) 3329 4492.26 11.0786 3744 4694.15 0.253778 3332 440 11.9754 3332 14154 0.760068 0 0 0 7.31725 4652.5
1632.73 179.66 2 0.75 >3600 (0.307008) 2722 5642.02 17.0202 1735.75 5735.12 2.30411 2720 289 11.6195 2720 15353 0.732129 0 0 0 7.52208 5791.75
1632.73 359.31 2 0.5 11.4507 5002 144 5002 10.0605 4986.5 5016.22 0.00595913 128 1 1.04689 128 1277 0.145479 6 31 0.119751 1.92205 5183.5
1632.73 359.31 2 0.75 10.3141 6207.25 99 6207.25 9.29401 6188.5 6219.55 0.00501796 118 1 0.914507 118 1162 0.182361 13 32 0.138593 1.61504 6340
1632.73 718.62 2 0.5 69.6305 5002 1153 5002 1.24846 4975 5552.31 0.116041 791 0 11.6227 791 4226 0.178883 0 0 0 0.605303 5294.5
1632.73 718.62 2 0.75 49.4844 6207.25 626 6207.25 2.14644 2085.75 6439.16 2.08721 410 0 6.24618 410 3908 0.233726 0 0 0 0.67101 6391
1632.73 359.31 3 0.5 24.8813 5069.5 71 5069.5 22.8949 5060.5 5081.08 0.00406628 106 1 0.660443 106 1395 0.220844 6 145 0.102381 1.64522 5205.5
1632.73 359.31 3 0.75 28.6249 6285.25 637 6285.83 5.17328 5954 6318.8 0.0612694 527 9 3.5569 527 2719 0.166599 0 0 0 1.55483 6353.25
1632.73 718.62 3 0.5 113.686 5069.5 889 5069.5 1.28021 5030 5552.31 0.103838 657 0 10.6917 657 5378 0.268401 0 0 0 0.55571 5295
1632.73 718.62 3 0.75 121.126 6285.25 1380 6285.25 1.14367 6216.25 6517.6 0.0484782 1069 0 13.4201 1069 5906 0.188393 0 0 0 0.533427 6393.25
1632.73 179.66 8 0.75 >3600 (1.43339) 6308 6019.6 16.341 1432.75 6056.55 3.22722 6350 44 9.77788 6350 16719 1.0476 2 4 0.034905 6.35908 6106.75
1632.73 359.31 8 0.5 29.5444 5069.5 558 5069.5 15.5406 4818.5 5087.88 0.0559057 534 2 2.76891 534 2528 0.196497 3 0 0.052202 1.7767 5205.5
1632.73 359.31 8 0.75 19.0575 6285.25 420 6285.25 6.00531 5987 6303.57 0.0528763 340 1 0.89427 340 1815 0.207417 0 0 0 1.6503 6353.25
1632.73 718.62 8 0.5 25.2339 5069.5 953 5069.5 1.31317 5153.5 5552.31 0.0773855 591 0 4.30375 591 2886 0.146025 0 0 0 0.560091 5295
1632.73 718.62 8 0.75 117.312 6285.25 1210 6285.25 1.17302 6194.25 6517.6 0.052202 964 0 7.89751 964 5561 0.285425 0 0 0 0.635327 6393.25
3265.45 179.66 1 0.5 2900.82 6112.5 2939 6112.5 21.4693 478.5 6183.57 11.9228 2782 181 10.9365 2782 32067 2.40137 1 0 0.013996 1.72215 6283
3265.45 179.66 1 0.75 >3600 (0.0138086) 3374 6816.09 7.08872 6051.25 6846.62 0.131439 3324 224 12.4532 3324 44783 2.26677 2 0 0.037055 1.67054 6892
3265.45 359.31 1 0.5 2847.45 6154.5 2797 6154.5 18.7101 614.5 6229.35 9.13727 2609 1 23.6454 2609 26927 1.60278 5 7 0.074936 1.82566 6361.5
