L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap
1632.73 179.66 1 0.5 96.9174 3795 4039 3795 11.427 3688.5 4025.37 0.0913291
1632.73 179.66 1 0.75 963.715 4462.75 21090 4462.75 17.1566 469.5 4841.76 9.31259
1632.73 359.31 1 0.5 26.1356 4302.5 282 4302.5 6.08142 3113 4384.65 0.408497
1632.73 359.31 1 0.75 24.0049 5146.25 153 5146.25 22.6757 5146.25 5174.37 0.00546357
1632.73 718.62 1 0.5 860.416 4302.5 1853 4302.5 1.34157 1134 5354.35 3.72165
1632.73 718.62 1 0.75 988.831 5146.25 3219 5146.25 1.34037 5255 6263.44 0.1919
1632.73 179.66 2 0.5 >3600 (0.306459) 3326 4492.26 11.6999 3744 4694.15 0.253778
1632.73 179.66 2 0.75 >3600 (0.307008) 2722 5642.02 16.1679 1735.75 5735.12 2.30411
1632.73 359.31 2 0.5 11.5584 5002 144 5002 10.1472 4986.5 5016.22 0.00595913
1632.73 359.31 2 0.75 10.444 6207.25 99 6207.25 9.46928 6188.5 6219.55 0.00501796
1632.73 718.62 2 0.5 72.2065 5002 1153 5002 1.26952 4975 5552.31 0.116041
1632.73 718.62 2 0.75 50.6767 6207.25 626 6207.25 2.28864 2085.75 6439.16 2.08721
- - - - - - - - - - - -
- - - - - - - - - - - -
1632.73 359.31 3 0.5 24.8382 5069.5 71 5069.5 22.8715 5060.5 5081.08 0.00406628
1632.73 359.31 3 0.75 45.892 6285.25 637 6285.83 5.52149 5954 6318.8 0.0612694
1632.73 718.62 3 0.5 137.926 5069.5 889 5069.5 1.71493 5030 5552.31 0.103838
1632.73 718.62 3 0.75 125.271 6285.25 1380 6285.25 1.22299 6216.25 6517.6 0.0484782
- - - - - - - - - - - -
1632.73 179.66 8 0.75 >3600 (1.43339) 6308 6019.6 16.2067 1432.75 6056.55 3.22722
1632.73 359.31 8 0.5 30.0025 5069.5 558 5069.5 16.1581 4818.5 5087.88 0.0559057
1632.73 359.31 8 0.75 18.9124 6285.25 420 6285.25 5.99055 5987 6303.57 0.0528763
1632.73 718.62 8 0.5 24.7002 5069.5 953 5069.5 1.25635 5153.5 5552.31 0.0773855
1632.73 718.62 8 0.75 115.8 6285.25 1210 6285.25 1.1847 6194.25 6517.6 0.052202
3265.45 179.66 1 0.5 3070.66 6112.5 2939 6112.5 21.5431 478.5 6183.57 11.9228
3265.45 179.66 1 0.75 >3600 (0.0138086) 3374 6816.09 7.44545 6051.25 6846.62 0.131439
3265.45 359.31 1 0.5 2895.68 6154.5 2797 6154.5 17.3304 614.5 6229.35 9.13727
3265.45 359.31 1 0.75 2174.72 6827.75 2171 6827.75 13.4949 575.25 6855.36 10.9172
3265.45 718.62 1 0.5 808.735 6154.5 4858 6154.5 1.71247 474.5 6466.36 12.6277
3265.45 718.62 1 0.75 834.439 6827.75 3052 6827.75 1.43557 625.5 7052.96 10.2757
3265.45 179.66 2 0.5 211.67 6124 920 6124.6 48.1936 5945.5 6151.58 0.0346613
3265.45 179.66 2 0.75 107.551 6812.5 839 6812.5 12.4146 1076.25 6835.46 5.35118
3265.45 359.31 2 0.5 137.428 6154.5 1395 6154.79 11.2143 5966.5 6213.62 0.0414174
3265.45 359.31 2 0.75 2719.82 6827.75 1834 6827.95 13.5886 588.75 6864.93 10.6602
3265.45 718.62 2 0.5 578.981 6154.5 2570 6154.5 1.28469 1201 6604.91 4.49951
3265.45 718.62 2 0.75 703.374 6827.75 1931 6827.75 1.46581 5273 7052.96 0.33756
3265.45 179.66 3 0.5 1200.78 6124 1531 6124 19.1012 5942.5 6166.95 0.0377707
3265.45 179.66 3 0.75 3417.51 6812.5 1778 6812.77 10.3065 6734.25 6854.82 0.0179045
3265.45 359.31 3 0.5 213.125 6154.5 1833 6154.89 9.30967 1275.5 6209.62 3.86838
3265.45 359.31 3 0.75 1470.76 6827.75 1760 6827.75 12.17 6181.25 6857.4 0.109387
3265.45 718.62 3 0.5 288.785 6154.5 1853 6154.5 1.21235 5815.5 6604.91 0.135742
3265.45 718.62 3 0.75 652.238 6827.75 3916 6827.75 1.792 763 6971.74 8.13727
3265.45 179.66 8 0.5 1518.23 6124 2078 6124 14.3961 3294.5 6183.62 0.876952
3265.45 179.66 8 0.75 1954.05 6812.5 2186 6812.96 11.5732 6699.75 6840.03 0.0209377
3265.45 359.31 8 0.5 3305.47 6154.5 2034 6154.5 17.9468 5990 6215.37 0.0376245
3265.45 359.31 8 0.75 717.181 6827.75 1777 6827.75 14.2932 6601.25 6860.34 0.0392485
