L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Biter Bcuts time_slave Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
7342.35 850.59 1 0.5 1634.58 5167 6792 5167 36.8211 1157.5 5526.47 3.77449 6475 896 45.6177 6475 13601 1.66685 2 18 0.061223 6.84075 6286
7342.35 850.59 1 0.75 733.594 6221.5 3701 6221.5 34.0811 1442.25 6594.92 3.57266 3190 326 25.9975 3190 7436 1.10681 4 0 0.116032 7.26797 7475.5
7342.35 1701.17 1 0.5 165.546 5422 2322 5422 16.1963 280.5 5632.3 19.0795 1682 7 27.0908 1682 7165 0.642919 4 47 0.042634 4.12342 6691.5
7342.35 1701.17 1 0.75 585.523 6563 2318 6563 24.0192 433.5 6786.96 14.6562 1961 3 29.3971 1961 9174 0.58777 0 0 0 4.42601 7915.75
7342.35 3402.34 1 0.5 3483.85 5422 13559 5422 15.6013 5502.5 5891.13 0.0706276 10196 0 198.777 10196 45766 1.94382 0 0 0 1.14254 7137.5
7342.35 3402.34 1 0.75 >3600 (0.00961266) 10407 6605.9 9.31257 1480.5 7075.29 3.77899 8253 0 166.502 8253 35655 2.04913 0 0 0 1.21431 8385
7342.35 850.59 2 0.5 3106.54 5824 10493 5824 64.9592 5725.5 6283.63 0.0974809 8682 863 85.1085 8682 16759 2.57106 5 0 0.208221 16.8215 6628
7342.35 1701.17 2 0.5 1060.77 6456 2293 6456 15.3371 5807 6623.16 0.140547 1841 7 33.5065 1841 14904 0.505734 0 0 0 4.91175 7019.5
7342.35 1701.17 2 0.75 337.549 8114 1017 8114 18.5965 781 8233.89 9.54275 851 5 19.3497 851 5168 0.379481 1 8 0.006063 5.76871 8517.75
7342.35 3402.34 2 0.5 2217.11 6456.5 7057 6456.5 34.2853 6529.5 6716.76 0.0286794 4710 0 117.72 4710 18625 1.47677 0 0 0 1.0393 7379.5
7342.35 1701.17 4 0.5 127.465 6604.5 599 6604.5 26.4712 6152.5 6698.43 0.0887334 471 1 6.76365 471 5064 0.437174 0 0 0 5.57632 7019.5
7342.35 1701.17 4 0.75 109.829 8315.25 774 8316 12.6101 8113.75 8367.3 0.031249 630 1 9.87589 630 3694 0.320964 0 0 0 4.90092 8518.75
7342.35 3402.34 4 0.5 >3600 (0.0199084) 4426 6690.6 15.4169 1123 6764.72 5.02379 4371 0 100.452 4371 28532 1.21393 1 0 0.006689 1.101 7379.5
7342.35 3402.34 4 0.75 >3600 (0.00372004) 5697 8337.65 4.85024 2510.5 8427.07 2.35673 4890 0 111.967 4890 28781 1.44658 0 0 0 1.02558 8702.75
7342.35 850.59 10 0.5 >3600 (0.0889396) 5454 6318.03 72.1172 5802 6408.33 0.104504 5143 3 14.5935 5143 25788 1.25173 6 0 0.288209 11.043 6643
7342.35 1701.17 10 0.5 88.0296 6604.5 567 6604.96 22.9962 6395 6676.86 0.0440757 469 1 3.79429 469 3772 0.356349 0 0 0 5.19663 7019.5
7342.35 1701.17 10 0.75 111.067 8315.25 822 8315.25 30.0823 8185.5 8353.63 0.0205396 661 1 4.23434 661 4003 0.432683 0 0 0 4.64368 8518.75
7342.35 3402.34 10 0.5 761.991 6604.5 10400 6604.5 16.3476 2363.5 6747.95 1.85506 6416 0 80.6003 6416 22980 1.16288 0 0 0 1.09567 7379.5
14684.7 850.59 1 0.5 21.7409 8249.5 30 8249.86 21.2691 8249.5 8252.32 0.000341799 89 4 0.355701 89 1398 0.770964 41 8 1.31864 5.50743 8668
14684.7 850.59 1 0.75 18.2632 9137.75 16 9138.62 17.9044 9137.75 9139.35 0.00017513 55 4 0.252403 55 1448 0.627887 22 10 0.475579 4.71353 9343.25
