L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap
7342.35 850.59 1 0.5 1605.2 5167 6792 5167 35.3334 1157.5 5526.47 3.77449
7342.35 850.59 1 0.75 799.875 6221.5 3701 6221.5 34.5301 1442.25 6594.92 3.57266
7342.35 1701.17 1 0.5 166.438 5422 2322 5422 16.1848 280.5 5632.3 19.0795
7342.35 1701.17 1 0.75 626.09 6563 2318 6563 25.3215 433.5 6786.96 14.6562
7342.35 3402.34 1 0.5 3451.75 5422 13559 5422 15.7334 5502.5 5891.13 0.0706276
7342.35 3402.34 1 0.75 3589.5 6563 12102 6563 9.29267 1480.5 7075.29 3.77899
7342.35 850.59 2 0.5 3154.53 5824 10493 5824 79.1838 5725.5 6283.63 0.0974809
- - - - - - - - - - - -
7342.35 1701.17 2 0.5 1087.41 6456 2293 6456 15.4606 5807 6623.16 0.140547
7342.35 1701.17 2 0.75 331.449 8114 1017 8114 17.8029 781 8233.89 9.54275
7342.35 3402.34 2 0.5 2285.64 6456.5 7057 6456.5 53.8373 6529.5 6716.76 0.0286794
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
7342.35 1701.17 4 0.5 141.333 6604.5 599 6604.5 28.7086 6152.5 6698.43 0.0887334
7342.35 1701.17 4 0.75 112.542 8315.25 774 8316 13.0344 8113.75 8367.3 0.031249
7342.35 3402.34 4 0.5 >3600 (0.0199084) 4412 6690.6 17.5542 1123 6764.72 5.02379
7342.35 3402.34 4 0.75 >3600 (0.00372004) 4710 8337.65 4.75332 2510.5 8427.07 2.35673
7342.35 850.59 10 0.5 >3600 (0.0889396) 5473 6318.03 68.5269 5802 6408.33 0.104504
- - - - - - - - - - - -
7342.35 1701.17 10 0.5 83.8173 6604.5 567 6604.96 21.7669 6395 6676.86 0.0440757
7342.35 1701.17 10 0.75 149.512 8315.25 822 8315.25 32.7443 8185.5 8353.63 0.0205396
7342.35 3402.34 10 0.5 762.513 6604.5 10400 6604.5 16.5722 2363.5 6747.95 1.85506
- - - - - - - - - - - -
14684.7 850.59 1 0.5 20.1646 8249.5 30 8249.86 19.7443 8249.5 8252.32 0.000341799
14684.7 850.59 1 0.75 18.3195 9137.75 16 9138.62 17.9795 9137.75 9139.35 0.00017513
14684.7 1701.17 1 0.5 58.2351 8249.5 110 8249.5 41.5174 7262.5 8281.34 0.140288
14684.7 1701.17 1 0.75 32.0785 9137.75 223 9138.57 11.4778 8792.75 9210.75 0.0475388
14684.7 3402.34 1 0.5 68.1491 8249.5 916 8249.5 7.4345 375 8501.98 21.6719
14684.7 3402.34 1 0.75 203.796 9137.75 223 9138.6 4.07151 7034 9559.87 0.359094
14684.7 850.59 2 0.5 27.0009 8249.5 223 8250.01 25.5454 8249.5 8257.59 0.000980093
14684.7 850.59 2 0.75 17.6359 9137.75 82 9138.66 16.9515 9137.75 9142.33 0.000501453
14684.7 1701.17 2 0.5 64.4186 8249.5 275 8249.54 46.5806 771 8289.9 9.75214
14684.7 1701.17 2 0.75 79.0158 9137.75 87 9138.66 32.3832 9094.5 9227.61 0.0146364
14684.7 3402.34 2 0.5 76.5765 8249.5 668 8249.5 6.45117 732 8519.96 10.6393
14684.7 3402.34 2 0.75 166.261 9137.75 397 9138.64 4.05927 9120.25 9559.87 0.0482023
14684.7 850.59 4 0.5 149.504 8249.5 804 8249.5 17.0653 7568.5 8277.77 0.0937136
14684.7 850.59 4 0.75 31.05 9137.75 190 9138.39 26.0238 9126.75 9140.24 0.00147844
14684.7 1701.17 4 0.5 118.401 8249.5 112 8249.83 117.256 8246.5 8253.81 0.00088701
14684.7 1701.17 4 0.75 40.6305 9137.75 76 9138.65 30.0507 944 9156.02 8.69917
14684.7 3402.34 4 0.5 90.8545 8249.5 710 8249.5 4.03848 8214.5 9093.73 0.107034
14684.7 3402.34 4 0.75 74.0007 9137.75 614 9138.56 3.90627 9118 9559.87 0.048461
14684.7 850.59 10 0.5 19.4291 8249.5 241 8249.92 18.5858 8249.5 8253.54 0.000490208
14684.7 850.59 10 0.75 91.8165 9137.75 576 9137.75 44.5481 797.75 9158.14 10.48
14684.7 1701.17 10 0.5 37.7644 8249.5 181 8250.24 25.0783 7952 8273.22 0.0403948
14684.7 1701.17 10 0.75 37.0797 9137.75 107 9138.48 8.51329 6565.75 9537.95 0.452682
14684.7 3402.34 10 0.5 65.2441 8249.5 731 8249.5 5.46556 1649.5 8526.11 4.16891
14684.7 3402.34 10 0.75 46.1389 9137.75 873 9137.97 4.17285 9058.25 9559.87 0.0553768
22027.1 850.59 1 0.5 1524.57 9464 13598 9464.74 97.594 6315 9545.78 0.511605
- - - - - - - - - - - -
22027.1 1701.17 1 0.5 490.591 9464 1626 9464 53.5127 7257.5 9504.9 0.309666
22027.1 1701.17 1 0.75 678.463 9745 7837 9745.2 22.9057 9513.75 9759.85 0.025868
22027.1 3402.34 1 0.5 1275.24 9464 7891 9464.04 7.61832 8761 9611.06 0.0970279
22027.1 3402.34 1 0.75 1265.5 9745 9615 9745.87 6.06846 1170.25 9825.96 7.39646
- - - - - - - - - - - -
- - - - - - - - - - - -
22027.1 1701.17 2 0.5 353.654 9464 5871 9464.58 33.059 9037.5 9498.91 0.0510555
22027.1 1701.17 2 0.75 311.149 9745 4609 9745.8 25.1981 9640.5 9764.54 0.0128669
- - - - - - - - - - - -
- - - - - - - - - - - -
22027.1 850.59 4 0.5 553.15 9464 1881 9464 49.6519 7528.5 9538.17 0.266942
- - - - - - - - - - - -
22027.1 1701.17 4 0.5 478.312 9464 2308 9464 61.7166 7291 9510.7 0.304444
22027.1 1701.17 4 0.75 744.144 9745 3221 9745 47.4101 9691.75 9763.98 0.00745241
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
22027.1 1701.17 10 0.5 2011.8 9464 3869 9464 43.0354 5957 9496.16 0.594118
22027.1 1701.17 10 0.75 1299.56 9745 2524 9745.94 35.0724 7815 9766.18 0.249671
- - - - - - - - - - - -
22027.1 3402.34 10 0.75 525.337 9745 4482 9745.63 21.3861 9624.5 9820.01 0.0203141
