L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
176.97,16.74,1,0.5,21.8706,1228.5,1287,1228.5,13.0348,1156,1250.05,0.0813561,826,77,3.84061,826,973,0.278149,21,0,0.403759,3.37951,1304.5
176.97,16.74,1,0.75,21.1457,1450.75,1529,1450.75,9.92286,1425,1484.94,0.042064,865,85,4.06562,865,1395,0.262336,17,0,0.345689,2.88003,1547.25
176.97,33.47,1,0.5,120.239,1295.5,2338,1295.5,7.55468,536.5,1325.8,1.4712,1896,0,15.4305,1896,5942,0.44661,4,3,0.035616,2.31815,1397
176.97,33.47,1,0.75,173.825,1554.75,1899,1554.75,9.96236,1291.5,1588.01,0.229587,1676,0,15.3776,1676,4415,0.478486,2,0,0.024681,2.13397,1654
176.97,66.49,1,0.5,268.474,1303.5,3995,1303.5,1.81305,99,1526.4,14.4182,2959,0,30.0696,2959,11195,0.425216,0,0,0,0.643589,1432
176.97,66.49,1,0.75,274.676,1566.75,2516,1566.75,1.53087,1471.25,1898.25,0.290231,2027,0,22.6983,2027,9029,0.509224,0,0,0,0.74471,1692
176.97,16.74,2,0.5,20.7893,1392.5,742,1392.5,13.4968,1369,1412.17,0.0315356,526,63,3.03346,526,866,0.171901,15,8,0.279215,10.2841,1420.5
176.97,16.74,2,0.75,57.3902,1715.5,2513,1715.5,12.4198,1660.5,1752.62,0.0554748,1999,159,10.2917,1999,1675,0.329799,11,5,0.224135,14.7112,1758
176.97,33.47,2,0.5,215.799,1496.5,2872,1496.5,12.2719,1346,1513.84,0.124694,2558,2,21.887,2558,7997,0.550265,3,9,0.029378,2.1029,1553
176.97,33.47,2,0.75,38.8521,1856,593,1856,24.2153,1787.5,1864.17,0.0428909,489,2,6.08928,489,2165,0.36533,13,0,0.197665,2.15735,1890
176.97,66.49,2,0.5,467.376,1508.5,4635,1508.5,6.67278,1347.5,1549.62,0.149995,3980,10,49.9369,3980,15362,0.77964,0,0,0,0.574858,1590.5
176.97,66.49,2,0.75,284.269,1865.5,2264,1865.5,1.5431,362.5,1959.02,4.40418,2001,0,28.1871,2001,9913,0.470617,0,0,0,0.700295,1912.25
176.97,16.74,3,0.5,12.872,1429.5,275,1429.5,10.5419,1376.5,1436.8,0.0438082,202,15,0.626388,202,618,0.072265,10,0,0.152222,4.95692,1434
