L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Biter Bcuts time_slave Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
176.97 16.74 1 0.5 18.7741 1228.5 975 1228.5 11.8196 1218.5 1251.33 0.0269399 575 61 3.12171 575 938 0.246431 24 11 0.488726 3.69002 1304.5
176.97 16.74 1 0.75 30.2565 1450.75 1431 1450.75 17.1968 1352.25 1489.98 0.101852 826 111 3.72245 826 1355 0.317116 19 8 0.415994 2.93572 1547.25
176.97 33.47 1 0.5 121.916 1295.5 2338 1295.5 7.83056 536.5 1325.8 1.4712 1896 0 15.9423 1896 5942 0.467038 4 3 0.041079 2.29828 1397
176.97 33.47 1 0.75 22.7407 1554.75 764 1554.75 7.45582 689.25 1580.74 1.29342 456 0 4.74691 456 1683 0.282353 4 24 0.037021 2.25794 1654
176.97 66.49 1 0.5 264.417 1303.5 3995 1303.5 1.81787 99 1526.4 14.4182 2959 0 29.4901 2959 11195 0.421835 0 0 0 0.639543 1432
176.97 66.49 1 0.75 274.99 1566.75 2516 1566.75 1.56139 1471.25 1898.25 0.290231 2027 0 23.7738 2027 9029 0.529815 0 0 0 0.77106 1692
176.97 16.74 2 0.5 20.9899 1392.5 378 1392.5 15.9256 1340.5 1415.12 0.0556641 288 43 1.94873 288 818 0.209217 22 6 0.413376 10.1137 1420.5
176.97 16.74 2 0.75 41.9058 1715.5 2889 1715.5 14.6816 1647.25 1751.25 0.0631326 1593 189 10.3616 1593 1558 0.293763 20 5 0.411232 15.2581 1758
176.97 33.47 2 0.5 211.59 1496.5 2872 1496.5 12.1686 1346 1513.84 0.124694 2558 2 21.373 2558 7997 0.540347 3 9 0.029512 2.07635 1553
176.97 33.47 2 0.75 44.9969 1856 742 1856 10.9516 1819.75 1866.61 0.0257502 610 0 7.23294 610 2355 0.343831 1 0 0.016415 2.22899 1890
176.97 66.49 2 0.5 461.396 1508.5 4635 1508.5 6.58844 1347.5 1549.62 0.149995 3980 10 48.8904 3980 15362 0.759188 0 0 0 0.577005 1590.5
176.97 66.49 2 0.75 282.019 1865.5 2264 1865.5 1.52154 362.5 1959.02 4.40418 2001 0 27.1283 2001 9913 0.453077 0 0 0 0.689457 1912.25
176.97 16.74 3 0.5 6.68815 1429.5 312 1429.5 5.35508 1426.5 1436.12 0.00674185 212 14 0.525002 212 531 0.049827 11 0 0.212968 4.9059 1434
176.97 16.74 3 0.75 11.3112 1796.25 440 1796.25 8.01393 1777.5 1801.82 0.0136837 305 18 1.39293 305 573 0.096495 9 0 0.185591 6.36331 1800.75
176.97 33.47 3 0.5 28.6879 1515 705 1515.04 11.3432 1466.5 1523.81 0.0390783 470 0 3.81757 470 1913 0.417092 5 0 0.051524 1.5324 1557.5
176.97 33.47 3 0.75 17.8644 1875 392 1875.15 7.33713 1846.75 1879.79 0.0178901 306 0 2.69314 306 959 0.222271 6 7 0.052103 1.86131 1894.25
176.97 66.49 3 0.5 310.621 1527.5 2625 1527.5 1.59957 178.5 1564.25 7.76331 2366 7 29.1685 2366 11279 0.505686 0 0 0 0.477435 1591
176.97 66.49 3 0.75 199.929 1881.25 1550 1881.25 1.44173 1863.75 1959.02 0.0511148 1220 0 17.1312 1220 6631 0.348001 0 0 0 0.532134 1913
176.97 16.74 8 0.5 4.333 1432.5 135 1432.5 3.73448 1428.5 1436.06 0.00528886 119 0 0.139996 119 404 0.035672 12 2 0.24933 7.0818 1434
176.97 16.74 8 0.75 5.8196 1800.75 1 1800.75 5.68058 1800.75 1801.1 0.000193003 29 1 0.0589662 29 415 0.074065 7 7 0.108687 5.81655 1800.75
176.97 33.47 8 0.5 31.2209 1515 1113 1515 7.61817 1447.5 1525.5 0.0538832 869 0 3.34751 869 2086 0.292066 3 0 0.031802 1.4987 1557.5
176.97 33.47 8 0.75 16.8356 1875 673 1875 7.28556 1861.25 1878.97 0.00951818 519 0 1.63613 519 1273 0.258724 1 0 0.009012 1.74486 1894.25
176.97 66.49 8 0.5 313.061 1527.5 1862 1527.5 1.36763 1492 1683.03 0.128037 1687 8 11.8954 1687 9613 0.333804 0 0 0 0.599588 1591
176.97 66.49 8 0.75 182.626 1881.25 1768 1881.25 1.38713 1879 1959.02 0.042584 1641 2 11.501 1641 7526 0.325871 0 0 0 0.601636 1913
353.93 16.74 1 0.5 2.75302 1885 1 1885.11 2.61923 1885 1886.54 0.00081543 12 2 0.0300298 12 328 0.091761 2 15 0.018463 1.45014 1899
353.93 16.74 1 0.75 3.64131 2060 1 2060.13 3.51044 2060 2060.86 0.000417758 14 2 0.0372119 14 369 0.094304 2 0 0.025447 2.27065 2064.25
353.93 33.47 1 0.5 5.25476 1885 1 1885 4.98436 1885 1885.29 0.000152323 16 0 0.149427 16 442 0.136796 4 41 0.060874 1.82426 1916
353.93 33.47 1 0.75 17.2817 2060 7 2060.04 16.9076 2054.25 2060.06 0.00282931 44 0 0.280621 44 631 0.313546 14 0 0.14969 1.87555 2075.5
