L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap
176.97 16.74 1 0.5 17.568 1228.5 975 1228.5 11.1275 1218.5 1251.33 0.0269399
176.97 16.74 1 0.75 29.4481 1450.75 1431 1450.75 16.8162 1352.25 1489.98 0.101852
176.97 33.47 1 0.5 159.963 1295.5 2338 1295.5 7.69627 536.5 1325.8 1.4712
176.97 33.47 1 0.75 23.9652 1554.75 764 1554.75 7.53237 689.25 1580.74 1.29342
176.97 66.49 1 0.5 276.196 1303.5 3995 1303.5 1.84629 99 1526.4 14.4182
176.97 66.49 1 0.75 274.859 1566.75 2516 1566.75 1.46167 1471.25 1898.25 0.290231
176.97 16.74 2 0.5 21.6501 1392.5 378 1392.5 16.5182 1340.5 1415.12 0.0556641
176.97 16.74 2 0.75 70.4657 1715.5 2889 1715.5 16.792 1647.25 1751.25 0.0631326
176.97 33.47 2 0.5 229.172 1496.5 2872 1496.5 13.2478 1346 1513.84 0.124694
176.97 33.47 2 0.75 45.5237 1856 742 1856 11.4631 1819.75 1866.61 0.0257502
176.97 66.49 2 0.5 461.682 1508.5 4635 1508.5 6.89744 1347.5 1549.62 0.149995
176.97 66.49 2 0.75 290.08 1865.5 2264 1865.5 1.52824 362.5 1959.02 4.40418
176.97 16.74 3 0.5 6.71814 1429.5 312 1429.5 5.38824 1426.5 1436.12 0.00674185
176.97 16.74 3 0.75 11.8442 1796.25 440 1796.25 8.03558 1777.5 1801.82 0.0136837
176.97 33.47 3 0.5 31.0151 1515 705 1515.04 11.3856 1466.5 1523.81 0.0390783
176.97 33.47 3 0.75 18.9291 1875 392 1875.15 7.57564 1846.75 1879.79 0.0178901
176.97 66.49 3 0.5 309.837 1527.5 2625 1527.5 1.61052 178.5 1564.25 7.76331
176.97 66.49 3 0.75 204.572 1881.25 1550 1881.25 1.52501 1863.75 1959.02 0.0511148
176.97 16.74 8 0.5 4.08409 1432.5 135 1432.5 3.49936 1428.5 1436.06 0.00528886
176.97 16.74 8 0.75 5.91204 1800.75 1 1800.75 5.79242 1800.75 1801.1 0.000193003
176.97 33.47 8 0.5 30.8524 1515 1113 1515 7.60488 1447.5 1525.5 0.0538832
176.97 33.47 8 0.75 17.165 1875 673 1875 7.51505 1861.25 1878.97 0.00951818
176.97 66.49 8 0.5 328.536 1527.5 1862 1527.5 1.45802 1492 1683.03 0.128037
176.97 66.49 8 0.75 184.522 1881.25 1768 1881.25 1.32472 1879 1959.02 0.042584
353.93 16.74 1 0.5 2.86569 1885 1 1885.11 2.74675 1885 1886.54 0.00081543
353.93 16.74 1 0.75 3.4529 2060 1 2060.13 3.33531 2060 2060.86 0.000417758
353.93 33.47 1 0.5 5.0851 1885 1 1885 4.89013 1885 1885.29 0.000152323
353.93 33.47 1 0.75 16.6642 2060 7 2060.04 16.3151 2054.25 2060.06 0.00282931
353.93 66.49 1 0.5 34.0093 1885 522 1885 1.25894 1823.5 1986.6 0.0894424
353.93 66.49 1 0.75 26.3347 2060 262 2060 1.22655 1278.75 2110.8 0.650674
