L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
194.11,16.46,1,0.5,18.765,1851.5,164,1851.5,17.4906,1851.5,1860.02,0.00460434,142,18,1.05719,142,840,0.325003,22,19,0.598311,6.94776,1979.5
194.11,16.46,1,0.75,30.9986,2190.5,376,2190.5,27.6147,2189,2201.03,0.00549649,260,24,2.34354,260,1094,0.334089,20,6,0.534169,7.12842,2324.25
194.11,32.91,1,0.5,273.086,1909.5,2117,1909.5,9.98229,330,1951.45,4.91348,1941,0,25.9842,1941,6480,0.659894,0,0,0,4.50543,2152.5
194.11,32.91,1,0.75,122.637,2274,1372,2274,29.7892,1985.5,2308.42,0.16264,996,2,16.0712,996,3903,0.914607,0,0,0,3.69411,2529
194.11,65.82,1,0.5,103.968,1909.5,972,1909.5,4.15801,1617,1996.85,0.234913,777,0,21.0427,777,3884,0.454508,0,0,0,0.651717,2190
194.11,65.82,1,0.75,126.273,2274,1660,2274,3.07307,267,2765.51,9.35773,1083,0,24.3272,1083,5250,0.330895,0,0,0,0.909869,2569.5
194.11,16.46,2,0.5,15.0565,2094,84,2094,14.314,2094,2098.01,0.00191673,100,6,0.795904,100,509,0.192319,26,6,0.488499,6.06857,2127
194.11,16.46,2,0.75,70.8148,2578.5,583,2578.5,32.217,2508.25,2582.23,0.0294966,553,20,5.56382,553,3695,0.526105,6,0,0.105755,9.03337,2601
194.11,32.91,2,0.5,44.265,2188,164,2188,23.108,1994.5,2194.99,0.100521,148,0,4.34467,148,1363,0.671318,1,0,0.017448,3.56204,2296
194.11,32.91,2,0.75,85.2068,2686.25,553,2686.25,23.1286,2480.25,2690.65,0.0848316,530,0,10.7491,530,2300,0.556501,3,0,0.036203,3.65493,2740.75
194.11,65.82,2,0.5,156.907,2188,686,2188,6.13844,1786,2235.63,0.251752,632,0,23.0435,632,4610,0.36088,0,0,0,0.574334,2320.5
194.11,65.82,2,0.75,147.642,2686.25,604,2686.25,5.59878,386.5,2702.3,5.99173,521,0,17.2886,521,4274,0.438352,0,0,0,0.593746,2753.25
194.11,16.46,4,0.5,27.531,2101.5,301,2101.7,24.4443,2085,2109.3,0.0116542,238,1,0.467127,238,591,0.233058,9,64,0.127201,4.48896,2127
194.11,16.46,4,0.75,38.2393,2603.75,510,2603.98,30.4928,2585.5,2611.31,0.00998334,365,1,1.51069,365,2034,0.438831,18,0,0.690296,6.5557,2621.5
194.11,32.91,4,0.5,68.8888,2189.5,649,2189.5,27.0845,244,2194.88,7.9954,556,0,4.70505,556,1883,0.930252,7,0,0.09362,3.59772,2296
194.11,32.91,4,0.75,46.004,2687.75,440,2687.91,23.1684,2434.5,2691.01,0.105366,308,0,2.96154,308,1434,0.680983,4,1,0.056973,3.84272,2740.75
194.11,65.82,4,0.5,43.6767,2189.5,578,2189.5,3.19279,1959.5,2425.75,0.237941,392,0,8.03889,392,2659,0.270984,0,0,0,0.609958,2320.5
194.11,65.82,4,0.75,76.3411,2687.75,972,2687.75,2.97323,652.5,2805.87,3.30019,727,0,13.7539,727,3669,0.528491,0,0,0,0.600081,2753.25
194.11,16.46,10,0.5,36.4645,2101.5,161,2101.65,20.9049,2075,2107.08,0.015458,133,1,0.207782,133,702,0.3066,3,0,0.046538,6.99099,2127
194.11,16.46,10,0.75,107.986,2603.75,949,2603.96,34.5575,2595.25,2612.35,0.00659053,718,1,1.26774,718,5849,0.510536,10,14,0.330639,4.06756,2621.5
194.11,32.91,10,0.5,32.8251,2189.5,333,2189.5,21.6652,2157.5,2195.85,0.0177755,277,1,1.59212,277,1487,0.580682,2,0,0.033002,3.75738,2296
