L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2293.74 245.78 1 0.5 362.831 6346.5 2279 6346.5 130.817 5599.5 6596.85 0.178115 1651 9042 0.506702 15 14 0.322514 14.5521 7244.5
2293.74 245.78 1 0.75 228.695 7442 1827 7442 140.49 7391.75 7749.6 0.048412 1072 7605 0.388211 17 29 0.421629 24.647 8514.75
L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2293.74 491.56 1 0.5 343.444 6764 1303 6764 271.648 6530.5 6913.69 0.0586769 879 3194 0.301889 4 0 0.063503 10.202 8181
2293.74 491.56 1 0.75 265.343 7971.5 4122 7971.5 230.707 7818 8145.85 0.0419349 2325 3804 0.353032 10 0 0.181979 11.6329 9598.5
2293.74 983.12 1 0.5 413.08 6851 2387 6851 4.85815 535 7314.02 12.6711 1843 9455 0.263622 0 0 0 3.83355 8347
2293.74 983.12 1 0.75 173.974 8097.5 1440 8097.5 6.31451 978.25 8632.15 7.82407 949 5659 0.153033 0 0 0 3.80896 9822
2293.74 245.78 2 0.5 >3600 (0.00890671) 16507 6967.51 254.97 6218 7385.56 0.187771 10857 8980 1.9699 5 0 0.142273 102.972 7549
2293.74 245.78 2 0.75 2320.58 8648.25 12427 8648.25 284.917 7831.75 9275.66 0.184367 7344 5094 1.43893 8 11 0.251302 191.668 9439.5
2293.74 491.56 2 0.5 410.389 8149.5 746 8149.5 258.793 6985 8240.39 0.179727 585 2718 0.484817 4 0 0.058273 21.0781 8610.5
2293.74 491.56 2 0.75 520.646 10171.8 948 10171.8 261.268 9238.75 10223.2 0.106555 871 4067 0.498152 7 0 0.110433 67.3001 10398.2
2293.74 983.12 2 0.5 433.519 8276 611 8276 4.21568 782.5 8466.32 9.81958 537 7662 0.119428 0 0 0 5.52418 8808.5
2293.74 983.12 2 0.75 373.07 10235 907 10235 2.58091 5638 10333.7 0.832865 701 6185 0.108828 0 0 0 4.6209 10501.2
2293.74 245.78 3 0.5 1787.59 7138.5 9501 7138.5 91.4676 6418.5 7435.74 0.158486 5650 6923 1.2076 0 0 0 38.0089 7623.5
2293.74 245.78 3 0.75 3369.75 9215.25 5908 9215.25 418.68 2612.5 9483.04 2.62987 3768 6529 0.844377 5 6 0.159393 181.487 9548.25
