L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
2293.74 245.78 1 0.5 203.732 6346.5 1455 6346.5 18.0866 5760 6742.38 0.170552
2293.74 245.78 1 0.75 217.749 7442 2851 7442 40.328 7083 7800.76 0.101336
2293.7 491.56 1 0.5 124.031 6764 1491 6764 4.744 933 7064.2 6.57149
2293.7 491.56 1 0.75 117.308 7971.5 3708 7971.5 9.72098 1198.75 8319.76 5.94036
2293.7 983.12 1 0.5 246.761 6851 2603 6851 2.78744 1948 7415.41 2.80668
2293.7 983.12 1 0.75 256.6 8097.5 1331 8097.5 2.3775 7848.25 8634.74 0.100212
2293.74 245.78 2 0.5 >3600 (0.0074673) 24648 6957.57 71.7866 6476 7401.28 0.142878
2293.74 245.78 2 0.75 >3600 (0.0154765) 15318 8777.27 86.8957 7961.75 9273.24 0.164724
2293.7 491.56 2 0.5 165.201 8149.5 1740 8149.5 6.116 4130.5 8276.06 1.00365
2293.7 491.56 2 0.75 117.659 10171.8 1471 10171.8 4.40309 2215 10247.3 3.62633
2293.7 983.12 2 0.5 182.573 8276 549 8276 1.57213 5098 8469.82 0.6614
2293.7 983.12 2 0.75 293.664 10235 517 10235 3.52127 1501.5 10326.6 5.87752
2293.74 245.78 3 0.5 2447.2 7138.5 17617 7138.5 26.3584 3714 7432.53 1.00122
2293.74 245.78 3 0.75 2020.41 9215.25 10317 9215.25 170.768 8015.5 9495.36 0.184624
2293.7 491.56 3 0.5 132.565 8159.5 1826 8159.5 3.12858 1017 8329.16 7.18993
2293.7 491.56 3 0.75 111.453 10176.8 802 10176.8 4.86781 1328 10235.7 6.70764
2293.7 983.12 3 0.5 95.2463 8276 323 8276 1.29625 7819 8484.4 0.0851008
2293.7 983.12 3 0.75 209.447 10235 495 10235 1.43255 960 10327.5 9.75781
2293.74 245.78 8 0.5 141.629 7241 2175 7241 16.6734 6366.5 7430.7 0.167156
2293.74 245.78 8 0.75 205.244 9330.75 1558 9330.92 40.3116 7247.25 9491.8 0.30971
2293.7 491.56 8 0.5 26.5356 8208 82 8208 8.18815 3749 8274.76 1.20719
2293.7 491.56 8 0.75 38.0698 10201 318 10201.6 6.01939 8838.25 10238.1 0.158388
2293.7 983.12 8 0.5 223.024 8276 534 8276 1.34395 2176 8476.01 2.89522
2293.7 983.12 8 0.75 118.884 10235 412 10235 1.21414 10147.8 10339.4 0.0188833
4587.48 245.78 1 0.5 254.476 9999.5 1164 9999.5 3.53715 7372 10098.4 0.369827
4587.48 245.78 1 0.75 261.436 11096.8 1552 11096.8 2.8469 5993.5 11144.7 0.859465
4587.5 491.56 1 0.5 57.9101 10035.5 417 10035.5 6.72174 5105.5 10123.2 0.982812
4587.5 491.56 1 0.75 48.8546 11114.8 293 11114.9 10.8321 6318 11149.8 0.764763
4587.5 983.12 1 0.5 192.467 10035.5 342 10035.5 1.01897 917.5 10238.9 10.1596
4587.5 983.12 1 0.75 700.015 11114.8 457 11115.4 1.00571 832 11216.4 12.4812
4587.48 245.78 2 0.5 149.342 9999.5 725 9999.5 1.85316 9957 10128.4 0.0172124
4587.48 245.78 2 0.75 400.332 11096.8 1066 11096.8 2.25095 6199.75 11145.4 0.797715
4587.5 491.56 2 0.5 172.96 10035.5 598 10035.5 5.86087 6507 10133.7 0.557358
4587.5 491.56 2 0.75 139.722 11114.8 428 11115.9 6.71657 8333.25 11154.2 0.338519
