L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
1632.73 179.66 1 0.5 314.343 3795 5816 3795 91.974 3712 4013.48 0.0812183 4053 5993 0.577603 11 1 0.197795 12.7835 4262.5
1632.73 179.66 1 0.75 1080.1 4462.75 12993 4462.77 43.321 1092.25 4838.21 3.42958 7548 9549 1.07421 0 0 0 13.3018 5041.25
1632.73 359.31 1 0.5 114.987 4302.5 175 4302.5 111.966 4237.5 4335.67 0.023168 179 1218 0.137858 26 30 0.332113 7.46436 4775
1632.73 359.31 1 0.75 179.665 5146.25 489 5146.25 173.11 5107 5185.4 0.0153523 393 2439 0.241125 23 41 0.324363 5.47498 5683.25
1632.73 718.62 1 0.5 77.0401 4302.5 662 4302.5 6.81682 3210.5 4433.08 0.380805 555 2943 0.090522 0 0 0 2.41259 4887
1632.73 718.62 1 0.75 100.82 5146.25 1019 5146.25 7.32668 3811.25 5291.01 0.388262 875 4064 0.247389 3 0 0.014271 3.37611 5806.5
1632.73 179.66 2 0.5 1173.05 4249 5660 4249 67.1267 1665 4517.31 1.7131 3641 8012 0.667813 4 0 0.067682 69.4428 4636
1632.73 179.66 2 0.75 >3600 (0.0127978) 9479 5373.91 59.7107 2091.5 5660.33 1.70635 6657 13113 1.14083 0 0 0 57.1202 5784.75
1632.73 359.31 2 0.5 92.0967 5002 81 5002 38.9882 4519 5130.2 0.13525 88 760 0.034914 0 0 0 32.366 5183.5
1632.73 359.31 2 0.75 86.8972 6207.25 217 6207.58 78.7476 6165.75 6222.23 0.00916066 200 901 0.07761 7 50 0.112203 20.1594 6340
1632.73 718.62 2 0.5 84.3063 5002 592 5002 15.7092 4493 5068.71 0.128135 495 2011 0.160875 1 0 0.006463 11.0916 5294.5
1632.73 718.62 2 0.75 111.18 6207.25 595 6207.25 11.1716 5535.25 6260.33 0.130993 509 2327 0.172044 0 0 0 9.54753 6391
1632.73 179.66 3 0.5 >3600 (0.0223234) 3610 4450.17 55.8236 3911.5 4705.85 0.203079 3059 16050 0.575789 1 0 0.016401 93.7867 4726
