L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
1632.73 179.66 1 0.5 284.946 3795 7185 3795 11.2454 2692.5 4054.06 0.505687
1632.73 179.66 1 0.75 1022.57 4462.75 13414 4462.75 4.38853 1350 4842.73 2.58721
1632.73 359.31 1 0.5 30.1575 4302.5 542 4302.5 15.1086 3942.5 4355.61 0.104782
1632.73 359.31 1 0.75 21.5936 5146.25 425 5146.25 4.20281 3712.75 5301.84 0.428009
1632.73 718.62 1 0.5 94.9268 4302.5 986 4302.5 3.05649 1348 4476.19 2.32062
1632.73 718.62 1 0.75 103.728 5146.25 807 5146.25 3.97323 1611.75 5365.49 2.32898
1632.73 179.66 2 0.5 2290.84 4249 11208 4249 10.6242 1477 4497.36 2.04493
1632.73 179.66 2 0.75 2272.54 5306 15307 5306 8.65944 1047 5749.88 4.49176
1632.73 359.31 2 0.5 16.1251 5002 227 5002 12.7766 4943.5 5013.87 0.014234
1632.73 359.31 2 0.75 14.6294 6207.25 204 6207.25 11.5068 6165.75 6220.36 0.00885766
1632.73 718.62 2 0.5 142.983 5002 652 5002 5.56856 2188 5074.8 1.31938
1632.73 718.62 2 0.75 138.964 6207.25 870 6207.25 1.88454 4829.75 6305.73 0.305602
1632.73 179.66 3 0.5 >3600 (0.0195971) 6438 4434.23 12.2357 3673.5 4682.27 0.274608
1632.73 179.66 3 0.75 2040.89 5639.75 8662 5639.75 14.4007 1768.75 5990.07 2.38661
1632.73 359.31 3 0.5 30.6063 5069.5 306 5069.5 3.8575 4892.5 5148.09 0.0522407
1632.73 359.31 3 0.75 34.0347 6285.25 291 6285.25 27.8469 6214.25 6291.4 0.0124153
1632.73 718.62 3 0.5 99.8211 5069.5 1240 5069.5 2.10493 2365.5 5151.32 1.17769
1632.73 718.62 3 0.75 145.548 6285.25 1127 6285.84 1.59054 3615.25 6326.08 0.749833
1632.73 179.66 8 0.5 >3600 (0.109013) 5426 4610.72 7.24401 1397.5 4689.96 2.35597
- - - - - - - - - - - -
1632.73 359.31 8 0.5 31.6134 5069.5 440 5069.5 13.7158 4854 5120.41 0.0548837
1632.73 359.31 8 0.75 28.9181 6285.25 289 6285.25 3.22467 2556.25 6326.53 1.47493
1632.73 718.62 8 0.5 284.721 5069.5 2393 5069.5 2.92782 4910.5 5142.8 0.0473074
1632.73 718.62 8 0.75 81.9856 6285.25 822 6285.25 1.17305 5876.75 6327.9 0.0767685
- - - - - - - - - - - -
3265.45 179.66 1 0.75 435.184 6805.25 1044 6805.25 4.84791 1511.5 6834.41 3.52161
3265.45 359.31 1 0.5 317.384 6154.5 1309 6154.5 6.65519 1731.5 6244.42 2.60637
3265.45 359.31 1 0.75 956.436 6827.75 2193 6827.9 2.24979 718 6884.33 8.5882
- - - - - - - - - - - -
3265.45 718.62 1 0.75 1572.2 6827.75 2473 6827.75 1.84017 6396 6883.22 0.0761753
3265.45 179.66 2 0.5 2276.78 6124 2504 6124 4.63757 1100 6186.17 4.62379
3265.45 179.66 2 0.75 255.148 6812.5 742 6812.72 4.81478 6708.5 6839.9 0.0195875
- - - - - - - - - - - -
3265.45 359.31 2 0.75 477.141 6827.75 1871 6827.95 5.95533 1120.75 6871.48 5.13115
- - - - - - - - - - - -
3265.45 718.62 2 0.75 2201.68 6827.75 4108 6827.75 0.704627 2130 6909.93 2.2441
3265.45 179.66 3 0.5 291.012 6124 760 6124 4.3717 1448 6199.64 3.28152
3265.45 179.66 3 0.75 1929 6812.5 467 6813.16 7.16783 2015.25 6843.17 2.39569
3265.45 359.31 3 0.5 434.575 6154.5 1488 6154.5 8.56544 1481 6233.27 3.20883
- - - - - - - - - - - -
3265.45 718.62 3 0.5 1353.82 6154.5 2400 6154.5 0.898896 2047 6277.83 2.06684
3265.45 718.62 3 0.75 614.539 6827.75 2896 6827.75 0.836921 2797.5 6890.96 1.46326
- - - - - - - - - - - -
3265.45 179.66 8 0.75 216.845 6812.5 907 6813.07 4.95061 1831.5 6839.36 2.73429
