L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
7342.35 850.59 1 0.5 344.333 5167 1056 5167 48.6522 542 5498.52 9.14487
7342.35 850.59 1 0.75 746.308 6221.5 1491 6221.5 51.6697 1442.25 6534.22 3.53057
7342.35 1701.17 1 0.5 196.079 5422 3208 5422 37.537 5077 5620.93 0.107136
7342.35 1701.17 1 0.75 120.375 6563 3537 6563 30.3771 6380.5 6741.36 0.0565571
7342.35 3402.34 1 0.5 2853 5422 10482 5422 4.25658 1059.5 5987.51 4.65126
- - - - - - - - - - - -
7342.35 850.59 2 0.5 2162.87 5824 6025 5824 82.894 4831 6238.89 0.291429
7342.35 850.59 2 0.75 1205.68 7404 5184 7404 62.0185 5833.25 7922.78 0.358211
7342.35 1701.17 2 0.5 204.416 6456 490 6456 32.9054 5222.5 6584.32 0.26076
7342.35 1701.17 2 0.75 105.557 8114 890 8114 44.7455 7943.25 8187.37 0.0307332
7342.35 3402.34 2 0.5 1425.72 6456.5 3622 6456.5 10.1433 2445.5 6721.06 1.74834
- - - - - - - - - - - -
7342.35 850.59 4 0.5 >3600 (0.071173) 3981 6273.32 79.5385 5856.5 6390.97 0.0912607
7342.35 850.59 4 0.75 >3600 (0.0767053) 2218 8119.44 45.9094 6910.5 8205.83 0.187443
7342.35 1701.17 4 0.5 137.026 6604.5 400 6604.5 10.3856 6136 6696.48 0.0913436
7342.35 1701.17 4 0.75 140.386 8315.25 537 8315.94 7.01718 7381.5 8367.47 0.133573
7342.35 3402.34 4 0.5 1773.65 6604.5 2744 6604.5 3.30106 2167 6797.91 2.13702
7342.35 3402.34 4 0.75 >3600 (1.22986) 3333 8356.94 4.33672 5856.25 8393.56 0.433266
7342.35 850.59 10 0.5 >3600 (0.0326584) 5024 6259.97 44.5418 5520.5 6406.29 0.160454
7342.35 850.59 10 0.75 >3600 (0.0148799) 5828 8105.85 48.0767 7214 8198.98 0.136537
7342.35 1701.17 10 0.5 83.5709 6604.5 499 6604.94 7.86438 4328.5 6701.89 0.548318
7342.35 1701.17 10 0.75 74.1228 8315.25 441 8315.25 8.83988 5235.25 8360.24 0.596913
7342.35 3402.34 10 0.5 1245.44 6604.5 3632 6604.5 3.2218 5174 6776.98 0.309815
7342.35 3402.34 10 0.75 >3600 (0.0243628) 4447 8348.81 3.92442 7587.75 8426.64 0.110559
14684.7 850.59 1 0.5 67.9292 8249.5 481 8249.5 13.3585 820 8286.43 9.10541
14684.7 850.59 1 0.75 26.6281 9137.75 376 9137.75 20.2379 9112.25 9148.92 0.00402408
14684.7 1701.17 1 0.5 33.4066 8249.5 167 8249.5 8.87538 3200 8313.33 1.59791
14684.7 1701.17 1 0.75 50.3022 9137.75 193 9138.42 20.4367 8274.5 9153.68 0.106252
14684.7 3402.34 1 0.5 61.2518 8249.5 400 8250.21 8.21265 3451 8323.51 1.41191
14684.7 3402.34 1 0.75 88.5466 9137.75 726 9137.75 5.39105 2484.5 9174.12 2.69254
14684.7 850.59 2 0.5 28.094 8249.5 334 8249.5 21.8287 8176.5 8259.43 0.0101424
14684.7 850.59 2 0.75 32.0891 9137.75 250 9138.36 11.3911 3958.75 9169.62 1.31629
14684.7 1701.17 2 0.5 50.4553 8249.5 362 8249.5 5.45963 954 8361.86 7.76505
14684.7 1701.17 2 0.75 49.2205 9137.75 209 9137.75 13.4202 3449.5 9167.12 1.65752
14684.7 3402.34 2 0.5 43.6361 8249.5 423 8249.5 2.78717 1682 8359.69 3.97009
14684.7 3402.34 2 0.75 48.8871 9137.75 385 9138.65 3.32486 1839.5 9184.18 3.99276
14684.7 850.59 4 0.5 52.5368 8249.5 457 8249.5 14.5824 7711 8277.55 0.0734724
14684.7 850.59 4 0.75 25.2849 9137.75 298 9138.54 9.81802 2607.25 9172.98 2.51826
14684.7 1701.17 4 0.5 30.9267 8249.5 338 8249.82 13.5955 4138 8302.98 1.00652
14684.7 1701.17 4 0.75 26.5698 9137.75 152 9138.65 12.39 4813.25 9166.21 0.90437
14684.7 3402.34 4 0.5 324.418 8249.5 776 8249.5 5.45611 4920.5 8335.73 0.694083
14684.7 3402.34 4 0.75 216.57 9137.75 929 9138.42 2.25672 2529 9222.06 2.64652
14684.7 850.59 10 0.5 45.2618 8249.5 353 8249.5 12.8158 7502 8304.33 0.106949
14684.7 850.59 10 0.75 34.2401 9137.75 276 9138.64 13.0105 1902.75 9156.39 3.81219
14684.7 1701.17 10 0.5 34.6946 8249.5 266 8250.02 6.35205 4093.5 8336.92 1.03662
14684.7 1701.17 10 0.75 25.0113 9137.75 166 9138.6 13.9702 8714.75 9157.48 0.0508029
14684.7 3402.34 10 0.5 124.59 8249.5 877 8249.88 3.02377 5520 8331.85 0.509394
14684.7 3402.34 10 0.75 77.9638 9137.75 527 9137.75 3.40481 7759.75 9173.09 0.182137
22027.1 850.59 1 0.5 426.998 9464 3038 9464.72 11.1622 4785.5 9507.34 0.986697
22027.1 850.59 1 0.75 119.706 9745 8139 9745.8 10.7409 8026 9764.84 0.21665
22027.1 1701.17 1 0.5 396.438 9464 13402 9464.45 12.7336 2321.5 9526.8 3.10373
22027.1 1701.17 1 0.75 512.891 9745 1465 9745.95 11.6346 3123.25 9770.2 2.12822
- - - - - - - - - - - -
