L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
176.97 16.74 1 0.5 27.0714 1228.5 668 1228.5 14.3722 1145.5 1252.9 0.0937565
176.97 16.74 1 0.75 37.0174 1450.75 1744 1450.75 23.0202 1426.5 1489.96 0.0444842
176.97 33.47 1 0.5 147.739 1295.5 2011 1295.5 7.01568 456.5 1334.18 1.92262
176.97 33.47 1 0.75 79.1646 1554.75 1311 1554.75 6.48453 717.75 1588.95 1.2138
176.97 66.49 1 0.5 724.097 1303.5 2813 1303.5 3.54071 102 1348.66 12.2221
176.97 66.49 1 0.75 86.6114 1566.75 1687 1566.75 1.97022 1198.25 1616.3 0.348882
176.97 16.74 2 0.5 29.3427 1392.5 1107 1392.5 10.1733 1364 1415.58 0.0378152
176.97 16.74 2 0.75 95.6104 1715.5 2590 1715.5 30.173 1659.25 1754.73 0.057544
176.97 33.47 2 0.5 80.9494 1496.5 1136 1496.5 21.1657 1430.5 1509.67 0.0553435
176.97 33.47 2 0.75 29.1936 1856 604 1856 4.44019 1686 1876.25 0.11284
176.97 66.49 2 0.5 498.353 1508.5 2939 1508.5 2.38273 1142 1538.22 0.346955
176.97 66.49 2 0.75 815.07 1865.5 1994 1865.5 3.23553 1157.75 1885.1 0.628247
176.97 16.74 3 0.5 8.60165 1429.5 365 1429.5 5.29023 1397 1435.9 0.0278485
176.97 16.74 3 0.75 25.2854 1796.25 262 1796.25 13.7687 1767.5 1802.27 0.0196716
176.97 33.47 3 0.5 26.7751 1515 782 1515 9.62811 1388.5 1524.08 0.0976456
176.97 33.47 3 0.75 11.7277 1875 315 1875 9.19399 1865.75 1877.6 0.00635186
176.97 66.49 3 0.5 111.97 1527.5 1066 1527.5 3.27084 1117 1541.75 0.38026
176.97 66.49 3 0.75 41.2153 1881.25 1522 1881.25 2.96268 1682 1888.89 0.123005
176.97 16.74 8 0.5 4.12189 1432.5 155 1432.5 3.08385 1428 1436.05 0.00564021
176.97 16.74 8 0.75 4.8975 1800.75 61 1800.89 3.77517 1792.25 1802.25 0.00557962
176.97 33.47 8 0.5 19.273 1515 539 1515 8.47201 1405.5 1522.08 0.0829481
176.97 33.47 8 0.75 13.5334 1875 445 1875 6.38857 1768 1879.56 0.0631019
176.97 66.49 8 0.5 124.634 1527.5 2625 1527.5 0.927931 890.5 1550.48 0.741138
176.97 66.49 8 0.75 125.1 1881.25 1556 1881.25 2.08152 1803 1890.05 0.0482803
353.93 16.74 1 0.5 3.54703 1885 7 1885.07 3.01774 1884.34 1885.39 0.000559397
353.93 16.74 1 0.75 3.31743 2060 7 2060.04 3.03667 2057.5 2060.06 0.00124284
353.93 33.47 1 0.5 5.86868 1885 1 1885.11 5.63208 1885 1885.33 0.000176958
353.93 33.47 1 0.75 7.43974 2060 25 2060.05 6.69494 2054.25 2060.17 0.00288348
353.93 66.49 1 0.5 5.47646 1885 83 1885.02 0.723914 674.5 1901.13 1.81858
353.93 66.49 1 0.75 4.08735 2060 102 2060.09 0.784813 656.5 2063.57 2.14328
353.93 16.74 2 0.5 3.63519 1885 13 1885.07 3.27187 1880 1885.21 0.00277372
353.93 16.74 2 0.75 2.89809 2060 7 2060.04 2.57355 2056 2060.06 0.00197331
353.93 33.47 2 0.5 5.54201 1884.93 19 1885.07 5.0657 1880 1885.37 0.00285807
353.93 33.47 2 0.75 5.928 2060 12 2060.04 5.39634 2056 2060.14 0.00201584
