L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
194.11 16.46 1 0.5 147.973 1851.5 339 1851.5 141.387 1819 1863.98 0.0247267 271 1041 0.229892 15 1 0.389737 50.3561 1979.5
194.11 16.46 1 0.75 237.405 2190.5 409 2190.5 233.788 2189 2202.65 0.00623363 301 1140 0.310146 27 24 0.698231 52.6316 2324.25
194.11 32.91 1 0.5 709.751 1909.5 433 1909.61 636.939 1716.5 1925.38 0.121692 401 1432 0.370222 4 0 0.054026 15.2553 2152.5
194.11 32.91 1 0.75 864.665 2274 519 2274 753.205 1996 2298.23 0.151417 477 2164 0.672384 8 0 0.118394 14.9313 2529
194.11 65.82 1 0.5 130.041 1909.5 482 1909.5 1.9305 107.5 2197.28 19.4398 433 1874 0.080813 0 0 0 3.21428 2190
194.11 65.82 1 0.75 170.721 2274 499 2274 2.05916 262.5 2578.1 8.82135 440 2876 0.142043 0 0 0 5.06398 2569.5
194.11 16.46 2 0.5 96.3861 2094 251 2094 89.9593 2090 2097.01 0.00335468 207 426 0.069583 38 10 0.605863 109.807 2127
194.11 16.46 2 0.75 128.967 2578.5 265 2578.5 112.643 2573.5 2587.94 0.00561159 209 897 0.210195 17 12 0.441052 173.48 2601
194.11 32.91 2 0.5 521.847 2188 133 2188.18 508.779 2178.5 2192.31 0.0063372 152 1010 0.232637 23 0 0.401919 36.4862 2296
194.11 32.91 2 0.75 687.762 2686.25 103 2686.25 683.804 2686.25 2688.05 0.000670595 161 939 0.281086 35 0 0.488456 44.2559 2740.75
194.11 65.82 2 0.75 1053.66 2686.25 1424 2686.25 53.9841 2148 2693.97 0.254176 1285 9075 0.737803 0 0 0 9.33227 2753.25
194.11 16.46 4 0.5 120.265 2101.5 254 2101.5 114.808 2091 2104.66 0.00653442 222 602 0.162399 19 0 0.255982 67.0948 2127
194.11 16.46 4 0.75 310.152 2603.75 313 2603.75 298.183 2592.75 2610.95 0.00701882 287 1233 0.444703 34 5 1.24303 73.6139 2621.5
194.11 32.91 4 0.5 524.054 2189.5 347 2189.5 499.378 2131.5 2196.08 0.0302998 318 1699 0.466966 17 4 0.273865 29.8309 2296
194.11 32.91 4 0.75 403.504 2687.75 217 2687.75 384.208 2657.5 2691.38 0.0127501 204 1373 0.407888 8 0 0.121585 27.1805 2740.63
194.11 65.82 4 0.5 116.793 2189.5 591 2189.5 13.5241 461 2208.04 3.78968 533 2795 0.118652 0 0 0 4.58555 2320.5
194.11 65.82 4 0.75 125.371 2687.75 734 2687.98 15.6664 631 2696.54 3.27344 612 2624 0.114292 0 0 0 4.67639 2753.25
194.11 16.46 10 0.5 64.4685 2101.5 188 2101.5 55.7895 2090.5 2105.47 0.00715905 166 623 0.145539 12 3 0.147074 69.926 2127
194.11 16.46 10 0.75 271.717 2603.75 629 2603.75 242.127 2595 2611.75 0.00645549 476 2742 0.334633 32 0 1.30605 60.9481 2621.5
194.11 32.91 10 0.5 500.23 2189.5 238 2189.5 487.024 2150.5 2194.6 0.0205075 254 1603 0.512555 21 10 0.304259 23.2964 2296
