L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
2220.53,248.23,1,0.5,512.122,5761,390,5761,461.932,5751,5866.92,0.0201568,341,47,2.17344,341,2346,0.430807,21,630,0.436299,248.113,5932.5
2220.53,248.23,1,0.75,677.029,6727.25,1504,6727.25,566.16,6721.75,6882.55,0.0239216,904,80,5.64884,904,3956,0.556576,7,205,0.17711,273.17,6922.25
2220.53,496.46,1,0.5,625.513,6124,120,6124,460.333,136,6214.41,44.6942,162,2,2.55866,162,4184,0.635586,0,0,0,295.26,6275.5
2220.53,496.46,1,0.75,638.511,7251.25,126,7251.25,422.138,3574.5,7332.26,1.05127,170,6,3.43199,170,5077,0.917598,0,0,0,237.566,7460
2220.53,992.92,1,0.5,477.38,6124,127,6124,301.375,2340.5,6261.26,1.67518,161,0,3.5664,161,5234,0.782707,0,0,0,176.4,6342.5
2220.53,992.92,1,0.75,487.792,7250.75,142,7251.26,297.82,2733.25,7408.3,1.71044,168,0,4.59876,168,5505,0.699312,0,0,0,211.546,7524.75
2220.53,248.23,2,0.5,833.006,6123.5,3309,6123.5,611.796,6122.5,6222.62,0.0163527,1852,78,11.5761,1852,3892,0.737793,12,275,0.308706,312.618,6251.5
2220.53,248.23,2,0.75,1886.04,7364.75,2861,7364.75,781.013,7324.5,7513.78,0.0258421,1778,241,16.1777,1778,3055,0.41275,11,590,0.428164,1080.71,7499.25
2220.53,496.46,2,0.5,457.244,6577.5,576,6577.99,401.392,6577.5,6604.43,0.00409359,437,2,5.01932,437,6332,0.609534,37,1097,0.416537,431.547,6633.5
2220.53,496.46,2,0.75,1017.51,7892.75,159,7893.52,458.523,486,7939.31,15.336,205,1,3.65878,205,6370,0.990888,0,0,0,438.093,7920.25
2220.53,992.92,2,0.5,685.463,6577.5,532,6577.69,549.206,6522.5,6621.13,0.0151216,515,0,13.2725,515,9351,1.11583,5,127,0.071666,359.86,6645.5
2220.53,992.92,2,0.75,632.263,7892.75,266,7892.75,317.809,330,7947.35,23.0829,277,0,8.76996,277,6333,0.706541,0,0,0,343.852,7926.75
2220.53,248.23,4,0.5,522.031,6201.5,638,6201.5,477.265,6200.5,6244.92,0.0071635,478,15,0.949413,478,1274,0.216835,26,1002,0.354719,285.335,6251.5
2220.53,248.23,4,0.75,>3600,(0.00969507),1708,7593.41,921.1,7495.5,7669.7,0.0232406,1474,218,7.53207,1474,1707,0.296276,4,108,0.129373,3600.04,7564.25
2220.53,496.46,4,0.5,1539.62,6577.5,125,6578.05,1497.18,6577.5,6589.17,0.00177362,205,2,1.60182,205,6354,2.43088,16,362,0.133736,339.6,6633.5
2220.53,496.46,4,0.75,1792.88,7892.75,383,7893.5,528.152,805.5,7935.92,8.85217,442,3,4.43292,442,11905,1.72719,0,0,0,351.565,7920.25
2220.53,992.92,4,0.5,2055.55,6577.5,585,6577.5,300.7,397.5,6671.62,15.7839,634,0,11.952,634,13249,0.992965,0,0,0,340.906,6645.5
2220.53,992.92,4,0.75,737.099,7892.75,497,7893.29,274.547,582.75,7952,12.6456,430,1,6.51412,430,8604,0.634265,0,0,0,353.578,7926.75
2220.53,248.23,10,0.5,486.58,6224,1,6224,447.175,6224,6225.54,0.000247209,138,0,0.166093,138,716,0.145477,66,2036,0.499655,303.96,6251.5
2220.53,248.23,10,0.75,2353.96,7548.5,5478,7549.23,557.348,7539,7665.89,0.0168306,3387,28,7.17855,3387,2016,0.523195,2,58,0.06706,3600.05,7570.25
2220.53,496.46,10,0.5,824.851,6577.5,144,6577.5,442.832,851,6671.64,6.83976,178,3,1.08821,178,5000,0.652107,0,0,0,435.089,6633.5
2220.53,496.46,10,0.75,1069.11,7892.75,266,7893.46,414.982,1998.75,7943.86,2.97441,302,2,1.40034,302,6080,0.669985,0,0,0,360.515,7920.25
2220.53,992.92,10,0.5,876.108,6577.5,240,6577.79,324.238,921.5,6674.39,6.24296,279,0,3.15312,279,7916,0.749667,0,0,0,349.141,6645.5
2220.53,992.92,10,0.75,1529.68,7892.75,275,7892.75,1287.1,7824.75,7909.89,0.0108815,327,0,3.91112,327,7483,1.36175,7,223,0.153823,361.975,7926.75
4441.07,248.23,1,0.5,637.626,7825,470,7825,335.258,3233.5,7924.29,1.45068,377,28,1.1638,377,5372,1.83052,0,0,0,357.43,7920
4441.07,248.23,1,0.75,641.959,8512.5,39,8513.09,601.848,8512.5,8515.8,0.000387845,109,16,0.394101,109,2809,1.45525,19,889,0.411636,398.998,8558.5
4441.07,496.46,1,0.5,580.497,7975.5,194,7976.28,385.596,7968.5,8004.77,0.0045514,240,2,2.14152,240,6171,2.39581,1,19,0.027646,450.015,8074.5
4441.07,496.46,1,0.75,593.982,8591.25,194,8592.09,380.169,1642,8605.55,4.24089,235,3,2.03558,235,6561,2.65961,0,0,0,553.791,8640.75
4441.07,992.92,1,0.5,941.359,7975.5,663,7975.5,302.778,1874,8014.5,3.27668,605,0,8.05698,605,17783,2.79488,0,0,0,566.49,8075
4441.07,992.92,1,0.75,739.394,8591.75,295,8592.6,281.604,2202,8608.92,2.90959,351,0,5.52285,351,9905,3.04266,0,0,0,383.494,8641.5
4441.07,248.23,2,0.5,470.325,7835.5,337,7835.5,421.609,7823.5,7843.57,0.00256576,350,4,0.463216,350,2923,1.05644,39,1912,0.97342,474.795,7920
4441.07,248.23,2,0.75,746.317,8520,153,8520.82,429.51,5549,8549.83,0.540788,201,9,0.369019,201,5784,2.68713,0,0,0,449.43,8558.75
4441.07,496.46,2,0.5,455.415,7975.5,618,7975.82,373.109,7956,7981.22,0.0031699,554,3,2.05463,554,17698,1.63622,17,664,0.421595,494.945,8074.5
4441.07,496.46,2,0.75,506.441,8591.75,389,8592.39,410.037,8589,8600.59,0.00134892,378,2,2.06484,378,7642,1.61585,1,65,0.026628,496.33,8640.75
