L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
2220.53 248.23 1 0.5 524.216 5761 390 5761 470.973 5751 5866.92 0.0201568
2220.53 248.23 1 0.75 687.836 6727.25 1504 6727.25 580.895 6721.75 6882.55 0.0239216
2220.53 496.46 1 0.5 597.078 6124 120 6124 444.182 136 6214.41 44.6942
2220.53 496.46 1 0.75 672.574 7251.25 126 7251.25 456.448 3574.5 7332.26 1.05127
2220.53 992.92 1 0.5 506.158 6124 127 6124 330.353 2340.5 6261.26 1.67518
2220.53 992.92 1 0.75 519.906 7250.75 142 7251.26 324.79 2733.25 7408.3 1.71044
2220.53 248.23 2 0.5 845.901 6123.5 3309 6123.5 634.061 6122.5 6222.62 0.0163527
2220.53 248.23 2 0.75 2078.97 7364.75 4043 7365.36 805.112 7334 7513.78 0.0245132
2220.53 496.46 2 0.5 465.549 6577.5 576 6577.99 399.15 6577.5 6604.43 0.00409359
2220.53 496.46 2 0.75 1056.5 7892.75 159 7893.52 488.22 486 7939.31 15.336
2220.53 992.92 2 0.5 696.125 6577.5 532 6577.69 560.995 6522.5 6621.13 0.0151216
2220.53 992.92 2 0.75 608.981 7892.75 266 7892.75 310.426 330 7947.35 23.0829
2220.53 248.23 4 0.5 526.378 6201.5 638 6201.5 482.321 6200.5 6244.92 0.0071635
2220.53 248.23 4 0.75 >3600 (0.0118288) 1689 7609.46 944.652 7502.91 7670.38 0.0223199
2220.53 496.46 4 0.5 1567.26 6577.5 125 6578.05 1527.63 6577.5 6589.17 0.00177362
2220.53 496.46 4 0.75 1742.86 7892.75 383 7893.5 513.941 805.5 7935.92 8.85217
2220.53 992.92 4 0.5 2084.5 6577.5 585 6577.5 320.12 397.5 6671.62 15.7839
2220.53 992.92 4 0.75 723.711 7892.75 497 7893.29 268.411 582.75 7952 12.6456
2220.53 248.23 10 0.5 469.689 6224 1 6224 435.859 6224 6225.54 0.000247209
2220.53 248.23 10 0.75 2929.39 7548.5 7390 7548.5 621.303 7538.75 7664.84 0.0167259
2220.53 496.46 10 0.5 842.982 6577.5 144 6577.5 462.829 851 6671.64 6.83976
2220.53 496.46 10 0.75 1075.94 7892.75 266 7893.46 403.238 1998.75 7943.86 2.97441
2220.53 992.92 10 0.5 882.6 6577.5 240 6577.79 339.057 921.5 6674.39 6.24296
2220.53 992.92 10 0.75 1492.28 7892.75 275 7892.75 1256.02 7824.75 7909.89 0.0108815
4441.07 248.23 1 0.5 628.943 7825 170 7825.41 333.006 3233.5 7924.29 1.45068
4441.07 248.23 1 0.75 660.381 8512.5 23 8513.09 624.013 8512.5 8515.38 0.000338775
4441.07 496.46 1 0.5 598.044 7975.5 194 7976.28 401.563 7968.5 8004.77 0.0045514
4441.07 496.46 1 0.75 607.798 8591.25 194 8592.09 389.342 1642 8605.55 4.24089
4441.07 992.92 1 0.5 918.213 7975.5 663 7975.5 296.378 1874 8014.5 3.27668
4441.07 992.92 1 0.75 771.925 8591.75 295 8592.6 308.755 2202 8608.92 2.90959
4441.07 248.23 2 0.5 489.084 7835.5 337 7835.5 444.326 7823.5 7843.57 0.00256576
4441.07 248.23 2 0.75 702.411 8520 114 8520.72 427.274 5549 8549.83 0.540788
4441.07 496.46 2 0.5 437.283 7975.5 618 7975.82 362.42 7956 7981.22 0.0031699
4441.07 496.46 2 0.75 538.513 8591.75 389 8592.39 434.684 8589 8600.59 0.00134892
4441.07 992.92 2 0.5 652.81 7975.5 379 7976.15 283.119 2180.5 8014.16 2.67538
4441.07 992.92 2 0.75 1254.1 8591.75 315 8592.57 295.049 2743.5 8610.95 2.13867
4441.07 248.23 4 0.5 744.523 7835.5 138 7836.05 367.44 148.5 7923.55 52.3572
4441.07 248.23 4 0.75 438.785 8520 177 8520.15 391.913 8520 8523.58 0.00041987
4441.07 496.46 4 0.5 658.024 7975.5 248 7975.5 370.705 1887 8002.41 3.24081
4441.07 496.46 4 0.75 708.784 8591.25 386 8592.04 400.253 8569.75 8604.09 0.0040069
4441.07 992.92 4 0.5 577.484 7975.5 211 7976.29 271.021 2524.5 8008.52 2.17232
4441.07 992.92 4 0.75 1289.67 8591.75 735 8592.1 294.275 3201.75 8609.07 1.68886
4441.07 248.23 10 0.5 428.819 7835.5 93 7835.91 393.051 7835.5 7843.18 0.000979733
4441.07 248.23 10 0.75 438.329 8520 131 8520.58 400.022 8520 8523.57 0.000419497
4441.07 496.46 10 0.5 747.109 7975.5 519 7975.84 397.067 1842 8004.53 3.34556
4441.07 496.46 10 0.75 640.494 8591.75 147 8592.58 372.943 5802.5 8607.99 0.483496
4441.07 992.92 10 0.5 554.894 7975.5 223 7975.91 257.993 7997.5 8041.4 0.00548979
4441.07 992.92 10 0.75 1138.88 8591.75 509 8592.46 271.141 1115.25 8608.51 6.71891
6661.61 248.23 1 0.5 773.762 8821 347 8821.59 339.347 1493.5 8831.27 4.91314
6661.61 248.23 1 0.75 375.611 9014.5 207 9014.5 329.832 9011 9016.35 0.00059405
6661.61 496.46 1 0.5 712.589 8823.5 480 8824.27 345.183 8769.5 8842.53 0.00832764
6661.61 496.46 1 0.75 816.413 9015.75 795 9016.36 315.387 8957.25 9024.6 0.00751934
6661.61 992.92 1 0.5 587.999 8823.5 498 8824.04 253.598 39.5 8845.82 222.945
6661.61 992.92 1 0.75 863.442 9015.75 874 9016.56 232.802 2676 9025.55 2.37278
6661.61 248.23 2 0.5 1119 8820.82 670 8821.59 314.55 8817 8837.81 0.00236045
6661.61 248.23 2 0.75 814.866 9014.5 279 9015.08 281.507 8984 9021.22 0.00414241
6661.61 496.46 2 0.5 613.817 8823.5 487 8824.11 305.455 8819.5 8842.97 0.00266143
6661.61 496.46 2 0.75 722.112 9015.75 345 9016.57 347.079 134.25 9021.59 66.1999
6661.61 992.92 2 0.5 980.56 8823.5 876 8824.2 218.943 8769.5 8857.79 0.0100679
6661.61 992.92 2 0.75 880.413 9015.75 636 9016.56 239.082 122.25 9024.84 72.8228
6661.61 248.23 4 0.5 614.561 8821 357 8821.1 329.31 8802.5 8830.1 0.00313547
6661.61 248.23 4 0.75 630.358 9014.25 588 9014.68 287.903 1961.25 9021.12 3.59968
6661.61 496.46 4 0.5 935.758 8823.5 533 8823.5 294.113 117 8842 74.5727
6661.61 496.46 4 0.75 726.529 9015.75 503 9016.51 314.309 175.5 9021.48 50.4045
6661.61 992.92 4 0.5 1259.81 8823.5 728 8823.5 222.553 143 8842.25 60.8339
6661.61 992.92 4 0.75 810.858 9015.75 734 9016.56 264.28 214.5 9024.33 41.0715
6661.61 248.23 10 0.5 682.181 8821 398 8821.21 310.097 6304.5 8833.62 0.401162
6661.61 248.23 10 0.75 398.183 9014.5 300 9014.59 347.858 9012.75 9016.18 0.000380838
6661.61 496.46 10 0.5 958.008 8823.5 681 8823.88 350.704 260.5 8845.44 32.9556
6661.61 496.46 10 0.75 641.358 9015.75 374 9016.65 327.353 8971.75 9023.82 0.00580363
6661.61 992.92 10 0.5 991.099 8823.5 581 8824.07 254.559 8813.5 8843.44 0.00339742
6661.61 992.92 10 0.75 804.032 9015.75 624 9016.49 219.86 443.25 9028.31 19.3684
