L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
1470.24,179.66,1,0.5,876.383,4019,1076,4019,838.936,4019,4163.82,0.0360339,657,126,3.42832,657,1476,0.098732,21,821,0.246789,379.986,4101.5
1470.24,179.66,1,0.75,1904.48,4728,7098,4728,1132.98,4692.25,5001.97,0.0660068,3764,282,18.443,3764,4396,0.549322,12,326,0.207132,605.245,4840
1470.24,359.31,1,0.5,256.94,4429.5,18,4429.5,245.031,4429.5,4442.87,0.00301841,66,2,0.352581,66,420,0.008829,22,543,0.070521,236.58,4472
1470.24,359.31,1,0.75,260.71,5286.75,127,5286.75,245.559,5260,5329.53,0.0132181,118,2,0.806026,118,1134,0.012018,0,0,0,235.558,5335.75
1470.24,718.62,1,0.5,196.432,4441.5,6,4441.83,184.861,4441.5,4445.47,0.000894631,53,0,0.54448,53,339,0.018704,21,611,0.068408,104.763,4508.5
1470.24,718.62,1,0.75,213.578,5290.25,127,5290.25,199.145,5286.75,5329.91,0.00816372,130,0,1.11733,130,587,0.020362,15,393,0.058672,113.691,5369.25
1470.24,179.66,2,0.5,3550.53,4567,11676,4567,1534.82,4536,4810.08,0.0604243,6737,620,37.1046,6737,5210,0.977665,10,469,0.20287,1035.86,4647.5
1470.24,179.66,2,0.75,>3600,(0.070138),1,6020.6,3565.07,5626,6020.6,0.070138,66,45,0.418392,66,1076,0.284104,2,45,0.038566,3600.11,5769.25
1470.24,359.31,2,0.5,366.417,5064.5,260,5064.88,351.652,5064.5,5090.22,0.00507946,214,2,1.33596,214,320,0.020629,19,367,0.092069,334.215,5105.5
1470.24,359.31,2,0.75,300.668,6251.5,1,6251.5,289.103,6251.5,6253.12,0.000258655,38,1,0.306139,38,446,0.003314,12,215,0.046043,287.023,6262
1470.24,718.62,2,0.5,247.561,5087.5,161,5087.5,232.093,5066,5113.67,0.00940983,152,0,1.93064,152,582,0.029567,13,404,0.055385,99.2594,5129.5
1470.24,718.62,2,0.75,139.014,6261.75,298,6261.75,121.515,6253.25,6281.29,0.00448404,270,0,2.65812,270,1033,0.031281,15,326,0.071259,107.331,6297
1470.24,179.66,3,0.5,>3600,(0.0436604),1141,4929.73,2632.97,4723.5,4974.33,0.0531015,1105,190,5.73786,1105,2912,0.330139,12,424,0.281399,1506.31,4836.5
1470.24,179.66,3,0.75,>3600,(0.037323),407,6238.98,1833.83,5977.5,6246.36,0.0449779,449,105,3.3046,449,3829,0.218496,1,83,0.024859,3600.13,6097
1470.24,359.31,3,0.5,267.066,5144.5,30,5144.5,253.696,5140.5,5147.55,0.00137205,83,1,0.412275,83,194,0.009691,40,808,0.142017,244.081,5163.5
1470.24,359.31,3,0.75,310.021,6322.75,29,6322.81,296.667,6306.5,6324.04,0.00278174,52,1,0.419221,52,264,0.010832,7,174,0.023605,284.518,6332.25
1470.24,718.62,3,0.5,119.028,5169,13,5169,107.499,5167.5,5172.31,0.000930199,37,0,0.390046,37,172,0.004949,16,484,0.040496,105.453,5186.5
1470.24,718.62,3,0.75,204.914,6335,1,6335,192.128,6335,6335.97,0.000153685,42,0,0.508524,42,229,0.012722,17,435,0.047899,119.446,6343.75
1470.24,179.66,8,0.5,2593.35,4836.5,7047,4836.5,1590.77,4836.5,4968.35,0.0272618,3674,9,4.21549,3674,3207,0.716098,23,849,0.656099,2737.18,4836.5
1470.24,179.66,8,0.75,>3600,(0.00845055),1262,6210.54,3014.04,6150,6235.95,0.0139751,1138,6,1.43336,1138,2646,0.320857,10,337,0.279832,3600.03,6152.5
