L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
1470 179.66 1 0.5 623.649 4019 692 4019.36 556.863 3947.5 4188.4 0.0610258
1470.24 179.66 1 0.75 2167.19 4728 11306 4728 1093.56 4692.25 5001.97 0.0660068
1470.24 359.31 1 0.5 266.4 4429.5 18 4429.5 254.219 4429.5 4442.87 0.00301841
1470.24 359.31 1 0.75 249.414 5286.75 127 5286.75 236.235 5260 5329.53 0.0132181
1470.24 718.62 1 0.5 223.031 4441.5 6 4441.83 211.985 4441.5 4445.47 0.000894631
1470.24 718.62 1 0.75 227.017 5290.25 127 5290.25 213.942 5286.75 5329.91 0.00816372
1470.24 179.66 2 0.5 2564.17 4567 4974 4567 1657.49 4528 4808.2 0.0618825
1470.24 179.66 2 0.75 >3600 (0.0747401) 341 6001.62 2474.86 5449.75 6015.54 0.10382
1470.24 359.31 2 0.5 390.118 5064.5 260 5064.88 375.97 5064.5 5090.22 0.00507946
1470.24 359.31 2 0.75 329.348 6251.5 1 6251.5 318.449 6251.5 6253.12 0.000258655
1470.24 718.62 2 0.5 272.716 5087.5 161 5087.5 258.084 5066 5113.67 0.00940983
1470.24 718.62 2 0.75 133.852 6261.75 298 6261.75 118.208 6253.25 6281.29 0.00448404
1470.24 179.66 3 0.5 >3600 (0.0626938) 201 4970.22 3004.86 4677 4993.12 0.0675914
1470.24 179.66 3 0.75 >3600 (0.0845078) 363 6236.46 1911.51 5531.75 6241.31 0.128271
1470.24 359.31 3 0.5 254.263 5144.5 30 5144.5 243.044 5140.5 5147.55 0.00137205
1470.24 359.31 3 0.75 299.307 6322.75 29 6322.81 287.483 6306.5 6324.04 0.00278174
1470.24 718.62 3 0.5 118.502 5169 13 5169 107.545 5167.5 5172.31 0.000930199
1470.24 718.62 3 0.75 234.258 6335 1 6335 222.458 6335 6335.97 0.000153685
1470.24 179.66 8 0.5 1584.25 4836.5 4940 4836.5 1091.57 4836.5 4950.7 0.0236123
1470.24 179.66 8 0.75 >3600 (0.0212274) 1 6244.81 3447.43 6115 6245.19 0.0212906
