L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
6483.15,850.59,1,0.5,1732.05,5383.5,1174,5383.5,1639.95,5383.5,5525.09,0.0263011,724,170,6.61482,724,3102,0.193415,14,357,0.437319,1040.59,5541
6483.15,850.59,1,0.75,1470.37,6494.75,1591,6494.75,1306.49,6490.25,6727.27,0.0365196,898,229,9.11887,898,3765,0.181772,9,297,0.315401,1324.48,6621.75
6483.15,1701.17,1,0.5,981.465,5656.5,211,5656.5,937.976,5656.5,5690.39,0.00599205,192,0,3.11044,192,1688,0.244184,14,387,0.132271,395.757,5910.5
6483.15,1701.17,1,0.75,1039.9,6836.25,115,6836.25,995.934,6836.25,6873.23,0.00540964,134,1,2.5376,134,1475,0.229758,13,386,0.093653,417.634,7111.75
6483.15,3402.34,1,0.5,2310.4,5656.5,320,5656.5,1737.24,5605.5,5772.93,0.029869,373,0,9.30171,373,6882,1.87046,0,0,0,225.877,5986
6483.15,3402.34,1,0.75,2163.04,6836.25,136,6836.25,1740.52,4968.75,6942.87,0.397307,214,0,6.13832,214,5140,1.36624,0,0,0,258.386,7196.75
6483.15,850.59,2,0.5,>3600,(0.0230194),1081,6357.55,3039.36,6214.5,6443.34,0.0368234,930,176,11.6527,930,5832,0.294678,30,1275,1.29597,3600.06,6289.5
6483.15,850.59,2,0.75,>3600,(0.0615468),1,8188.77,3482.9,7714,8188.77,0.0615468,48,23,0.709788,48,1364,0.164757,1,43,0.039182,3600.16,7867.5
6483.15,1701.17,2,0.5,920.671,6599,100,6599,877.438,6596,6621.48,0.00386278,131,3,3.21654,131,1440,0.155861,15,399,0.148896,380.129,6755
6483.15,1701.17,2,0.75,985.416,8255.75,397,8255.75,940.693,8234.5,8267.89,0.00405514,340,3,5.74321,340,1909,0.202657,10,238,0.097684,419.366,8361.75
6483.15,3402.34,2,0.5,2403.37,6599,188,6599,1839.95,5357.5,6670.03,0.244989,278,0,10.7593,278,5778,1.6268,0,0,0,251.082,6791.5
6483.15,3402.34,2,0.75,2180.4,8255.75,554,8255.75,1647,903,8316.9,8.2103,473,0,14.1188,473,6608,1.92602,0,0,0,252.771,8397.25
