L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
6483.15 850.59 1 0.5 1190.91 5383.5 982 5383.5 1094.21 5376 5549.7 0.0323111
6483.15 850.59 1 0.75 1465.72 6494.75 1593 6494.75 1306.66 6490.25 6727.27 0.0365196
6483.15 1701.17 1 0.5 970.106 5656.5 211 5656.5 929.132 5656.5 5690.39 0.00599205
6483.15 1701.17 1 0.75 1030.24 6836.25 115 6836.25 991.831 6836.25 6873.23 0.00540964
6483.15 3402.34 1 0.5 2285.54 5656.5 320 5656.5 1709.8 5605.5 5772.93 0.029869
6483.15 3402.34 1 0.75 2189.79 6836.25 136 6836.25 1764.94 4968.75 6942.87 0.397307
6483.15 850.59 2 0.5 >3600 (0.0155446) 2610 6311.1 2493 6214.5 6434.28 0.0353664
6483.15 850.59 2 0.75 >3600 (0.0615468) 1 8188.77 3425.31 7714 8188.77 0.0615468
6483.15 1701.17 2 0.5 942.416 6599 100 6599 904.775 6596 6621.48 0.00386278
6483.15 1701.17 2 0.75 1024.15 8255.75 397 8255.75 978.965 8234.5 8267.89 0.00405514
6483.15 3402.34 2 0.5 2285.97 6599 188 6599 1694.92 5357.5 6670.03 0.244989
6483.15 3402.34 2 0.75 2323.29 8255.75 554 8255.75 1741.48 903 8316.9 8.2103
6483.15 850.59 4 0.5 1995.17 6489.5 860 6489.5 1872.32 6484.5 6571.39 0.0134
6483.15 850.59 4 0.75 1488.66 8255 913 8255 1317.75 8252.5 8304.57 0.00630906
6483.15 1701.17 4 0.5 1671.57 6692 237 6692 1626.77 6685.5 6712.3 0.00400843
6483.15 1701.17 4 0.75 2071.18 8359 242 8359 1675.41 8032 8387.7 0.0442851
6483.15 3402.34 4 0.5 1975.96 6701.5 333 6701.5 1200.5 1095.5 6784.33 5.1929
6483.15 3402.34 4 0.75 1476.44 8363.75 265 8363.75 1063.24 1557 8414.35 4.4042
6483.15 850.59 10 0.5 1664.86 6491 1495 6491 1526.5 6485 6566.87 0.0126239
6483.15 850.59 10 0.75 1281.59 8255 671 8255 1172.79 8252.5 8297.28 0.00542614
6483.15 1701.17 10 0.5 1509.47 6692 364 6692 1468.62 6685.5 6709.55 0.00359708
6483.15 1701.17 10 0.75 1361.65 8359 193 8359 1319.01 8358.25 8368.22 0.00119288
6483.15 3402.34 10 0.5 1455.71 6701.5 310 6701.5 1105.41 5737.5 6786.98 0.182916
6483.15 3402.34 10 0.75 1833.92 8363.75 399 8363.75 1226.85 3366.75 8413.02 1.49885
12966.3 850.59 1 0.5 1610.12 8229 1238 8229 1510.6 8215 8262.03 0.00572502
12966.3 850.59 1 0.75 >3600 (0.00561263) 388 9153.59 1567.22 9112 9167.29 0.00606747
12966.3 1701.17 1 0.5 >3600 (0.0220954) 521 8313.21 1374.27 8250 8332.3 0.00997541
12966.3 1701.17 1 0.75 2948.15 9130 718 9130 1690.29 9090.25 9169.45 0.00871246
- - - - - - - - - - - -
12966.3 3402.34 1 0.75 >3600 (0.0135593) 364 9171.45 1248.49 498 9175.09 17.4239
12966.3 850.59 2 0.5 2346.22 8234 756 8234 2251.47 8207.5 8261.37 0.00656294
12966.3 850.59 2 0.75 2830.96 9130 1036 9130 2764.58 9126 9144.77 0.00205698
12966.3 1701.17 2 0.5 >3600 (0.014908) 338 8316.16 1641.35 4305 8325.03 0.933805
12966.3 1701.17 2 0.75 >3600 (0.0130102) 555 9175.59 1395.21 84 9181.53 108.304
12966.3 3402.34 2 0.5 >3600 (0.0185547) 343 8308.86 1404.27 648 8326.88 11.8501
12966.3 3402.34 2 0.75 >3600 (0.015078) 593 9170.47 1255.33 855 9175.95 9.7321
12966.3 850.59 4 0.5 2325.21 8234 1580 8234 1756.95 8154.5 8283.41 0.0158087
12966.3 850.59 4 0.75 >3600 (0.0125931) 612 9164.22 1893.35 9082.75 9170.67 0.00967945
12966.3 1701.17 4 0.5 >3600 (0.0193637) 432 8303.74 1628.67 8226.5 8329.15 0.012478
12966.3 1701.17 4 0.75 >3600 (0.010549) 617 9162.39 1687.63 9087.75 9170.57 0.00911363
12966.3 3402.34 4 0.5 >3600 (0.0100679) 596 8310.33 1212.33 8197 8332.98 0.0165887
12966.3 3402.34 4 0.75 >3600 (5.37045) 604 9173.45 1291.3 1440 9178.5 5.37396
12966.3 850.59 10 0.5 3042.26 8234 660 8234 2125.6 8124 8301.29 0.0218234
12966.3 850.59 10 0.75 3428.32 9130 1004 9130 3216.81 9099.5 9144.52 0.0049475
12966.3 1701.17 10 0.5 3390.32 8234 608 8234 1932.23 4328.5 8319.44 0.922015
12966.3 1701.17 10 0.75 2500.63 9130 1962 9130.83 2050.41 9101.5 9161.6 0.00660383
12966.3 3402.34 10 0.5 >3600 (0.0246718) 207 8305.99 1146.05 1950 8324.59 3.26902
12966.3 3402.34 10 0.75 >3600 (0.0130474) 546 9172.64 1231.65 9078.75 9179.42 0.0110888
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 1701.17 1 0.5 >3600 (6.8574) 575 9499.6 1225.89 9476.5 9504.23 0.00292568
19449.5 1701.17 1 0.75 >3600 (0.000710228) 1493 9748.42 1192.07 3200.25 9762.13 2.05043
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 850.59 2 0.75 >3600 (0.941115) 650 9767.2 1192.93 5031.75 9768.06 0.941285
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 1701.17 4 0.75 >3600 (0.00319098) 591 9760.3 1214.73 9745.75 9766.26 0.00210491
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
