L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
158.82,16.74,1,0.5,173.868,1266,685,1266.05,151.602,1261,1285.52,0.0194479,552,112,2.24464,552,1818,0.342601,20,523,0.385057,65.7214,1298.5
158.82,16.74,1,0.75,315.118,1494.25,1752,1494.25,190.029,1447.75,1537.22,0.0617964,1443,225,5.73924,1443,1859,0.327649,11,341,0.205796,90.5529,1536
158.82,33.47,1,0.5,184.224,1344,827,1344,97.0054,1348.5,1359.98,0.00851371,664,5,5.09208,664,2632,0.523227,0,0,0,36.789,1390.5
158.82,33.47,1,0.75,172.627,1601.5,224,1601.5,97.5055,155,1620.33,9.45377,284,0,2.69855,284,2468,0.43608,0,0,0,39.2929,1647.75
158.82,66.49,1,0.5,179.44,1350.5,370,1350.5,76.6419,138.5,1367.7,8.87508,384,0,4.42928,384,3553,0.492708,1,8,0.005087,24.0304,1417.5
158.82,66.49,1,0.75,188.233,1602.25,672,1602.25,81.839,113.75,1626.79,13.3014,555,0,6.98369,555,4000,0.661434,0,0,0,24.3526,1671
158.82,16.74,2,0.5,284.38,1447.5,301,1447.5,212.139,1419,1470.69,0.036427,293,69,2.06203,293,451,0.096094,18,474,0.355004,78.5623,1463
158.82,16.74,2,0.75,497.835,1775.25,1659,1775.25,275.782,1742.5,1821.9,0.0455686,1134,151,7.78987,1134,745,0.212877,10,208,0.182583,223.324,1799.5
158.82,33.47,2,0.5,192.237,1532,641,1532,87.6789,278,1545.35,4.55882,541,0,6.09768,541,2811,0.448017,0,0,0,37.2604,1558.5
158.82,33.47,2,0.75,134.803,1878,422,1878.01,115.979,1877,1881.94,0.00262997,349,2,3.48477,349,2526,0.519406,2,64,0.009294,39.4359,1892.75
158.82,66.49,2,0.5,236.269,1541,406,1541,84.7554,90,1555.16,16.2796,462,1,7.22083,462,4209,0.665801,0,0,0,25.5936,1582
158.82,66.49,2,0.75,262.22,1885,1347,1885,60.1218,123.5,1897.32,14.3629,991,0,11.3126,991,4470,0.522318,0,0,0,25.5939,1908.5
158.82,16.74,3,0.5,318.179,1475,931,1475,132.279,1459,1509.53,0.0346344,687,59,3.14995,687,373,0.126168,7,121,0.145652,412.732,1480
158.82,16.74,3,0.75,1132.67,1847.25,4479,1847.25,131.472,1781.75,1870.02,0.0495435,3138,189,17.0793,3138,441,0.510948,7,125,0.142871,3600.09,1848.25
158.82,33.47,3,0.5,157.034,1544,188,1544,97.0785,1068.5,1551.88,0.452389,192,0,1.79239,192,2111,0.41655,0,0,0,39.7927,1559
158.82,33.47,3,0.75,176.209,1889.5,180,1889.57,103.424,456.5,1892.99,3.14675,245,0,2.30754,245,2053,0.474628,0,0,0,46.3971,1895.5
158.82,66.49,3,0.5,185.485,1550.5,259,1550.5,79.3022,1022.5,1561.02,0.526671,292,0,4.24672,292,4168,0.518335,0,0,0,25.3381,1583
158.82,66.49,3,0.75,156.151,1892.75,261,1892.77,50.1677,149.75,1902.07,11.7016,291,0,4.01732,291,3386,0.317774,0,0,0,25.7464,1909
158.82,16.74,8,0.5,261.753,1478,2017,1478,101.075,1475.5,1511.8,0.0246036,1122,7,1.35118,1122,707,0.189312,7,103,0.13936,312.391,1480
158.82,16.74,8,0.75,1294.25,1848.25,10061,1848.25,93.4224,1839.5,1873.5,0.0184817,6013,3,7.69523,6013,466,0.932331,9,158,0.16182,3600.09,1848.25
158.82,33.47,8,0.5,112.526,1544,122,1544.12,97.8925,1541,1546.67,0.00368051,174,2,0.636646,174,1852,0.40557,12,321,0.07841,39.6083,1559
158.82,33.47,8,0.75,117.249,1889.5,24,1889.62,102.652,1889.5,1890.51,0.000533938,109,0,0.519518,109,1690,0.474865,24,368,0.243044,42.8685,1895.5
158.82,66.49,8,0.5,211.381,1550.5,375,1550.5,84.3239,1085,1562.18,0.439796,358,1,2.50459,358,4443,0.64319,0,0,0,26.4174,1583
158.82,66.49,8,0.75,115.807,1892.75,599,1892.75,47.8416,341,1901.89,4.57738,456,0,2.63388,456,3755,0.221534,0,0,0,26.1803,1909
317.64,16.74,1,0.5,109.451,1887,200,1887,92.6425,1887,1890.19,0.00168969,221,9,0.291327,221,2197,0.493833,18,667,0.264653,36.0982,1911
317.64,16.74,1,0.75,117.187,2061,273,2061,81.2535,2059.5,2064.45,0.00240444,270,19,0.45502,270,2116,0.396138,2,67,0.02789,37.2859,2073
317.64,33.47,1,0.5,191.369,1889,551,1889.17,92.9526,1886,1894.83,0.00467922,552,0,2.8265,552,4695,0.843762,5,197,0.078281,34.3798,1919
317.64,33.47,1,0.75,174.005,2062,493,2062.11,77.2463,2062.75,2066.8,0.00196224,480,0,2.68719,480,3833,0.90787,4,150,0.057958,34.8532,2077
317.64,66.49,1,0.5,372.384,1889,1111,1889,69.5696,1877.5,1900.81,0.0124173,1193,0,10.3513,1193,9785,1.21459,3,30,0.040582,24.0676,1920
317.64,66.49,1,0.75,271.432,2062,495,2062.12,72.9961,2061.75,2066.54,0.00232515,587,0,5.66316,587,7962,1.25519,5,200,0.069757,25.1424,2077.5
317.64,16.74,2,0.5,83.3374,1887,437,1887,65.6874,1887,1891.29,0.00227557,330,1,0.286858,330,2148,0.244885,22,879,0.320298,35.7115,1911
317.64,16.74,2,0.75,149.815,2061,309,2061,79.3778,2059.75,2064.27,0.00219302,348,1,0.290115,348,2682,0.423187,4,94,0.05565,35.7883,2073
317.64,33.47,2,0.5,270.955,1889,986,1889.16,69.387,1890.5,1898.41,0.00418422,949,7,2.8234,949,7295,1.21587,4,58,0.06447,34.985,1919
317.64,33.47,2,0.75,170.379,2062,1272,2062.14,72.7024,2060.75,2066.38,0.00273227,1102,0,2.81936,1102,7202,0.850047,5,203,0.066253,34.2565,2077
317.64,66.49,2,0.5,229.504,1889,627,1889,59.3817,862.5,1899.58,1.20242,685,3,4.40968,685,7141,0.953606,2,44,0.027771,24.7748,1920
317.64,66.49,2,0.75,214.717,2062,1172,2062.18,61.7478,2063.25,2066.93,0.0017816,1102,0,6.23733,1102,6884,0.989417,4,99,0.052027,24.4175,2077.5
317.64,16.74,3,0.5,139.472,1887,317,1887,70.5759,1887.5,1892.87,0.00284407,359,1,0.289943,359,1952,0.434635,1,31,0.014344,35.7881,1911
