L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
158.82 16.74 1 0.5 193.13 1266 685 1266.05 169.716 1261 1285.52 0.0194479
158.82 16.74 1 0.75 312.938 1494.25 1752 1494.25 189.636 1447.75 1537.22 0.0617964
158.82 33.47 1 0.5 182.917 1344 827 1344 97.611 1348.5 1359.98 0.00851371
158.82 33.47 1 0.75 205.787 1601.5 224 1601.5 119.489 155 1620.33 9.45377
158.82 66.49 1 0.5 209.354 1350.5 370 1350.5 97.5733 138.5 1367.7 8.87508
158.82 66.49 1 0.75 214.331 1602.25 672 1602.25 98.8702 113.75 1626.79 13.3014
158.82 16.74 2 0.5 304.759 1447.5 301 1447.5 234.907 1419 1470.69 0.036427
158.82 16.74 2 0.75 533.641 1775.25 1659 1775.25 299.543 1742.5 1821.9 0.0455686
158.82 33.47 2 0.5 189.595 1532 641 1532 86.9193 278 1545.35 4.55882
158.82 33.47 2 0.75 160.457 1878 422 1878.01 139.773 1877 1881.94 0.00262997
158.82 66.49 2 0.5 226.634 1541 406 1541 80.2598 90 1555.16 16.2796
158.82 66.49 2 0.75 252.34 1885 1347 1885 57.8829 123.5 1897.32 14.3629
158.82 16.74 3 0.5 347.964 1475 931 1475 156.526 1459 1509.53 0.0346344
158.82 16.74 3 0.75 1145.26 1847.25 4479 1847.25 131.464 1781.75 1870.02 0.0495435
158.82 33.47 3 0.5 155.518 1544 188 1544 93.2818 1068.5 1551.88 0.452389
158.82 33.47 3 0.75 181.419 1889.5 180 1889.57 104.929 456.5 1892.99 3.14675
158.82 66.49 3 0.5 215.268 1550.5 259 1550.5 79.0859 1022.5 1561.02 0.526671
158.82 66.49 3 0.75 161.952 1892.75 261 1892.77 50.7718 149.75 1902.07 11.7016
158.82 16.74 8 0.5 289.074 1478 2017 1478 122.999 1475.5 1511.8 0.0246036
158.82 16.74 8 0.75 1337.87 1848.25 10061 1848.25 119.434 1839.5 1873.5 0.0184817
158.82 33.47 8 0.5 137.36 1544 122 1544.12 122.246 1541 1546.67 0.00368051
158.82 33.47 8 0.75 111.187 1889.5 24 1889.62 97.8984 1889.5 1890.51 0.000533938
158.82 66.49 8 0.5 242.171 1550.5 375 1550.5 105.725 1085 1562.18 0.439796
158.82 66.49 8 0.75 119.119 1892.75 599 1892.75 45.9954 341 1901.89 4.57738
317.64 16.74 1 0.5 109.751 1887 200 1887 93.8615 1887 1890.19 0.00168969
317.64 16.74 1 0.75 112.133 2061 273 2061 78.6868 2059.5 2064.45 0.00240444
