L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
1975.84 245.78 1 0.5 727.771 6469 1157 6469.47 261.124 5721 6758.78 0.181398
1975.84 245.78 1 0.75 703.59 7596 962 7596 209.864 2932.5 8041.13 1.74207
1975.84 491.56 1 0.5 1109.78 6789 608 6789 206.467 6287.5 7015.09 0.115721
1975.84 491.56 1 0.75 806.899 8035 991 8035 207.782 2130.5 8316.64 2.90361
1975.84 983.12 1 0.5 2391.5 6816.5 867 6816.5 115.041 185 7219.38 38.0237
1975.84 983.12 1 0.75 2418.53 8069.25 1497 8069.25 115.191 235 8695.28 36.0012
1975.84 245.78 2 0.5 >3600 (0.0322074) 2083 7544.4 300.471 6680.5 7748.6 0.159883
1975.84 245.78 2 0.75 >3600 (0.0115668) 3550 9346.12 464.938 8921.5 9691.78 0.0863396
1975.84 491.56 2 0.5 606.302 8230 208 8230 204.8 5785 8291.8 0.433328
1975.84 491.56 2 0.75 829.494 10212 355 10212 191.6 9746.5 10248.1 0.0514654
1975.84 983.12 2 0.5 1985.94 8255 1024 8255 143.204 474 8361.28 16.6398
1975.84 983.12 2 0.75 1539.53 10224.5 1018 10224.5 162.824 385 10275 25.6884
1975.84 245.78 3 0.5 3374.75 7506 5300 7506 265.999 6950 7826.98 0.126185
1975.84 245.78 3 0.75 >3600 (0.0312273) 1310 9881.22 294.426 9208 9948.44 0.0804127
1975.84 491.56 3 0.5 693.709 8231.5 403 8232.07 189.716 7385.5 8289.19 0.12236
1975.84 491.56 3 0.75 671.445 10212.8 426 10213.8 225.81 8660.5 10244.6 0.182913
1975.84 983.12 3 0.5 1650.37 8255 869 8255 163.7 622.5 8366.28 12.4398
1975.84 983.12 3 0.75 1478.1 10224.5 537 10224.5 137.977 535 10278.3 18.2118
1975.84 245.78 8 0.5 993.324 7626.5 778 7626.5 231.891 5680.5 7824.24 0.377386
1975.84 245.78 8 0.75 >3600 (0.00268278) 5725 9756.6 205.082 9472.5 9968.74 0.0523879
1975.84 491.56 8 0.5 744.978 8233 678 8233 203.108 8018.5 8286.79 0.0334588
1975.84 491.56 8 0.75 564.278 10213.5 432 10213.5 216.808 9835.25 10242 0.0413565
1975.84 983.12 8 0.5 793.605 8255 579 8255 133.644 872 8363.76 8.59146
1975.84 983.12 8 0.75 1171.17 10224.5 507 10224.9 131.758 1265.5 10290.8 7.1318
3951.68 245.78 1 0.5 585.519 9915 680 9915.62 145.801 9847.5 9976.94 0.0131441
3951.68 245.78 1 0.75 622.45 11054.5 550 11055.5 138.909 11016.2 11095.6 0.00720282
3951.68 491.56 1 0.5 689.766 9933.5 786 9934.49 128.547 4997 10022.2 1.00564
3951.68 491.56 1 0.75 482.591 11063.8 506 11064.8 154.527 6577.25 11091.3 0.686312
3951.68 983.12 1 0.5 844.418 9933.5 864 9933.5 119.392 4069 9998.49 1.45724
3951.68 983.12 1 0.75 566.907 11063.8 767 11064.8 115.284 5775.5 11096.5 0.921301
3951.68 245.78 2 0.5 614.341 9915 651 9915 173.526 9915.5 9974.57 0.00595688
3951.68 245.78 2 0.75 642.944 11054.5 451 11055.2 164.163 11058 11081.3 0.00210851
