L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
1975.84,245.78,1,0.5,1180.82,6469,867,6469,428.051,6157,6745.5,0.0955823,698,4388,0.071159,5,204,0.0963,937.98,6779
1975.84,245.78,1,0.75,1564.9,7596,1198,7596,455.407,1621.25,7990,3.9283,1010,4735,0.111909,0,0,0,2207.86,7929.5
1975.84,491.56,1,0.5,1769.53,6789,937,6789,374.422,2430.5,6996.5,1.87863,760,7156,0.062057,0,0,0,167.519,7368.5
1975.84,491.56,1,0.75,1770.69,8035,1830,8035,321.562,2109.75,8318,2.94265,1320,7146,0.109259,0,0,0,147.195,8692.75
1975.84,983.12,1,0.5,2408.72,6816.5,743,6816.5,199.849,185,7167.5,37.7432,646,12574,0.056529,0,0,0,124.501,7531
1975.84,983.12,1,0.75,>3600,(0.0376487),625,8371.75,204.982,235,8602.75,35.6074,626,22122,0.061214,0,0,0,161.291,8865.25
1975.84,245.78,2,0.5,>3600,(0.0488947),1281,7615.5,844.82,6509,7752.5,0.191043,1204,3763,0.196693,2,119,0.054748,3600.05,7367
1975.84,245.78,2,0.75,>3600,(0.0445048),1196,9610.75,640.428,8527.75,9740.25,0.142183,1099,3931,0.199684,8,247,0.238605,3600.04,9081
1975.84,491.56,2,0.5,1647.41,8230,576,8230,425.193,5373.5,8295.5,0.54378,561,5886,0.055689,0,0,0,167.74,8419
1975.84,491.56,2,0.75,1455.66,10212,352,10213,332.314,9081.5,10250.8,0.128751,383,5272,0.035834,0,0,0,215.187,10306.5
1975.84,983.12,2,0.5,>3600,(0.0037553),474,8286,317.049,816.5,8373,9.25475,492,10381,0.050866,0,0,0,184.262,8533
1975.84,983.12,2,0.75,>3600,(0.00575501),466,10267.2,262.81,592,10284.5,16.3725,509,12214,0.051632,0,0,0,142.998,10363.5
1975.84,245.78,3,0.5,>3600,(0.0209832),1376,7663.5,427.156,6692,7822.5,0.168933,1270,2469,0.231933,8,297,0.224303,3600.02,7590.5
1975.84,245.78,3,0.75,>3600,(0.0544092),1329,9951.25,392.809,8492.5,9976.75,0.174772,1284,2490,0.247043,8,410,0.252993,3605.25,9642.75
1975.84,491.56,3,0.5,1062.07,8231.5,564,8231.5,271.655,7683,8301.5,0.0805024,551,5140,0.048003,0,0,0,205.615,8419
1975.84,491.56,3,0.75,1213.92,10212.7,807,10212.8,250.274,9027.5,10254.2,0.13589,785,5906,0.070707,0,0,0,158.822,10306.5
1975.84,983.12,3,0.5,2137.38,8255,757,8255.5,280.448,590.5,8389.5,13.2074,738,9691,0.063938,0,0,0,135.253,8533
1975.84,983.12,3,0.75,2334.58,10224.5,1049,10224.5,236.204,814.75,10292.5,11.6327,900,12570,0.089711,0,0,0,198.874,10363.5
1975.84,245.78,8,0.5,1546.74,7626.5,976,7626.5,460.035,7025,7818.5,0.112954,815,3516,0.1255,8,428,0.248266,3600.03,7674.5
1975.84,245.78,8,0.75,>3600,(0.0170678),1335,9877,410.11,9277.75,9963.25,0.0738864,1217,1910,0.221954,11,319,0.337055,3600.05,9600.75
1975.84,491.56,8,0.5,947.545,8233,495,8233,296.743,7345,8292,0.128931,458,6275,0.039449,0,0,0,138.053,8419
1975.84,491.56,8,0.75,764.978,10213.5,428,10213.5,322.007,7547,10245.2,0.357526,413,4940,0.032739,0,0,0,167.413,10306.5
1975.84,983.12,8,0.5,1683.09,8255,802,8255,239.033,1770.5,8378.5,3.73228,756,11236,0.074089,0,0,0,116.866,8533
1975.84,983.12,8,0.75,2469.09,10224.5,656,10224.8,179.469,3149.5,10303.2,2.27139,610,10582,0.057754,0,0,0,123.945,10363.5
3951.68,245.78,1,0.5,544.033,9915,341,9915,269.524,9934,9956.5,0.00226495,342,4933,0.044617,1,76,0.021605,134.191,10034
3951.68,245.78,1,0.75,597.837,11054.5,795,11055,236.189,10937.8,11090.2,0.0139425,761,5784,0.092251,3,225,0.052321,139.72,11114
3951.68,491.56,1,0.5,635.922,9933.5,357,9933.5,255.531,9940,9957.5,0.00176056,442,5683,0.053096,4,132,0.082556,142.557,10112
3951.68,491.56,1,0.75,828.149,11063.8,524,11064.5,190.467,11069.5,11084.2,0.00133249,598,9520,0.076174,0,0,0,198.903,11153
3951.68,983.12,1,0.5,1742.84,9933.5,869,9933.5,231.973,9939.5,9977.5,0.00382313,885,15064,0.118868,1,91,0.021232,163.845,10133
3951.68,983.12,1,0.75,1446.31,11063.8,711,11064.8,217.034,11076,11090,0.00126399,758,13148,0.093184,1,53,0.019527,214.483,11163.5
3951.68,245.78,2,0.5,601.209,9915,457,9915.5,223.349,5992.5,9964.5,0.662829,466,6085,0.059696,4,180,0.076362,102.098,10034
3951.68,245.78,2,0.75,901.371,11054.5,686,11054.5,238.709,5945.5,11084.2,0.864309,714,8125,0.095396,1,23,0.02335,133.908,11114
3951.68,491.56,2,0.5,496.173,9933.5,365,9933.5,136.98,6859,10017,0.460417,399,5146,0.048391,0,0,0,152.156,10112
3951.68,491.56,2,0.75,523.869,11063.8,266,11064.8,182.129,8855.75,11075.2,0.250628,315,4686,0.039888,0,0,0,160.544,11153
3951.68,983.12,2,0.5,1262.59,9933.5,633,9933.5,143.964,9956,9988,0.00321414,687,11538,0.082734,1,42,0.014913,177.513,10133
3951.68,983.12,2,0.75,1189.77,11063.8,694,11064.8,106.621,590.5,11134.2,17.8556,667,14120,0.088717,0,0,0,220.782,11163.5
3951.68,245.78,3,0.5,825.893,9915,509,9915.5,215.658,9460,9985,0.0554968,519,6346,0.066934,0,0,0,123.823,10034
3951.68,245.78,3,0.75,1360.24,11054.5,1040,11055.2,218.644,2219.25,11089.5,3.99696,988,12598,0.135193,0,0,0,106.461,11114
3951.68,491.56,3,0.5,917.241,9933.5,355,9933.5,230.652,8136,9970.5,0.225479,437,9047,0.055533,1,50,0.018481,179.176,10112
3951.68,491.56,3,0.75,619.978,11063.8,521,11064.8,195.804,8310.25,11080.2,0.333323,578,6684,0.079435,3,195,0.04934,133.286,11153
3951.68,983.12,3,0.5,1006.93,9933.5,473,9933.5,144.206,7974.5,10010.5,0.255314,516,11268,0.067538,0,0,0,189.762,10133
3951.68,983.12,3,0.75,945.985,11063.8,591,11064.8,183.902,11081,11094.5,0.0012183,666,9283,0.081016,1,82,0.018454,210.704,11163.5
3951.68,245.78,8,0.5,851.072,9915,603,9915,246.415,3250,9961,2.06492,612,7196,0.078585,3,48,0.069026,124.054,10034
3951.68,245.78,8,0.75,857.595,11054.5,709,11055,236.151,10930.5,11083.2,0.0139747,716,7917,0.093719,1,7,0.020818,146.309,11114
3951.68,491.56,8,0.5,866.368,9933.5,793,9933.5,140.877,6345.5,9989,0.574186,837,10499,0.107265,0,0,0,138.547,10112
3951.68,491.56,8,0.75,663.66,11063.8,349,11064.8,179.61,9232.25,11089.2,0.201143,416,6588,0.054567,0,0,0,138.104,11153
3951.68,983.12,8,0.5,1235.41,9933.5,527,9933.5,170.018,6533.5,9985.5,0.528354,601,12510,0.073085,0,0,0,152.836,10133
3951.68,983.12,8,0.75,1105.25,11063.8,630,11064.8,177.374,9884.25,11090.5,0.122038,676,11114,0.087259,1,77,0.017768,235.932,11163.5
5927.51,245.78,1,0.5,349.076,11311.5,530,11312,133.134,5839.5,11333,0.940748,535,5715,0.084048,2,70,0.046064,109.599,11429
5927.51,245.78,1,0.75,573.06,11752.8,591,11753.8,160.284,5585,11768.5,1.10716,627,7377,0.103295,0,0,0,113.732,11811.5
5927.51,491.56,1,0.5,340.681,11311.5,358,11311.5,116.258,11323,11333,0.000883158,424,5679,0.065361,3,177,0.065936,94.1666,11461.5
5927.51,491.56,1,0.75,334.878,11752.8,398,11753.5,101.837,4372.5,11773.8,1.69268,443,5699,0.073134,0,0,0,108.828,11827.8
5927.51,983.12,1,0.5,538.379,11311.5,484,11312.5,110.127,5872.5,11332.5,0.929757,546,9934,0.086287,0,0,0,96.4242,11461.5
5927.51,983.12,1,0.75,567.919,11752.8,670,11753.5,102.375,7749.25,11769,0.518728,734,6757,0.113446,2,73,0.043094,132.595,11827.8
5927.51,245.78,2,0.5,449.148,11311.5,391,11312.5,137.704,6275,11341,0.807331,446,6837,0.0752,2,209,0.044428,104.206,11429
5927.51,245.78,2,0.75,386.778,11752.8,516,11753.2,114.616,4953,11769.8,1.37629,537,6162,0.084203,0,0,0,99.4093,11811.5
5927.51,491.56,2,0.5,509.607,11311.5,522,11311.5,119.101,11327.5,11342,0.00128007,578,7193,0.091403,2,70,0.044929,114.18,11461.5
5927.51,491.56,2,0.75,443.567,11752.8,557,11753,98.4299,7743.5,11773.2,0.520404,591,6025,0.096373,0,0,0,104.055,11827.8
5927.51,983.12,2,0.5,562.01,11311.5,852,11312.5,89.1674,5557,11358.5,1.044,839,12129,0.12991,0,0,0,99.1949,11461.5
5927.51,983.12,2,0.75,224.122,11752.8,640,11752.8,195.923,11752.5,11761.5,0.000765795,575,5226,0.092007,12,639,0.300744,95.2603,11827.8
5927.51,245.78,3,0.5,487.187,11311.5,583,11312.5,128.449,11301,11345,0.00389346,604,7621,0.093894,2,187,0.042712,100.674,11429
5927.51,245.78,3,0.75,399.385,11752.8,452,11753.8,124.245,11747.8,11762.8,0.00127684,510,5707,0.08077,0,0,0,96.8943,11811.5
5927.51,491.56,3,0.5,607.22,11311.5,684,11311.5,110.272,2281,11340.5,3.97172,724,7098,0.11153,0,0,0,98.5795,11461.5
5927.51,491.56,3,0.75,460.252,11752.8,527,11753,127.744,11760.2,11767,0.000573967,570,7614,0.087891,1,138,0.021097,105.821,11827.8
5927.51,983.12,3,0.5,245.165,11311.5,516,11312.5,111.916,11297,11332,0.00309817,499,5897,0.081823,4,112,0.093334,97.3217,11461.5
5927.51,983.12,3,0.75,435.746,11752.8,508,11752.8,98.6118,4939,11771,1.38328,550,6249,0.085584,0,0,0,101.948,11827.8
5927.51,245.78,8,0.5,438.228,11311.5,619,11312,110.711,6090,11338.5,0.861823,646,7078,0.099342,0,0,0,115.452,11429
5927.51,245.78,8,0.75,501.251,11752.8,597,11753.8,111.15,2212.25,11776.5,4.32331,641,9394,0.102609,0,0,0,116.515,11811.5
5927.51,491.56,8,0.5,442.344,11311.5,570,11311.5,118.299,11326.5,11332.5,0.000529731,589,6957,0.091355,3,230,0.065876,91.21,11461.5
5927.51,491.56,8,0.75,510.58,11752.8,535,11752.8,105.812,9232,11767,0.274588,593,6923,0.097236,0,0,0,95.2716,11827.8
5927.51,983.12,8,0.5,483.324,11311.5,582,11311.5,128.832,11320,11336.5,0.0014576,633,8447,0.097525,2,208,0.045299,104.257,11461.5
5927.51,983.12,8,0.75,290.471,11752.8,349,11752.8,107.966,11762.5,11768.5,0.000510096,342,5737,0.052613,1,88,0.022954,101.708,11827.8
