L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2220.53 248.23 1 0.5 2006.12 5761 1474 5761 440.292 5672.5 5925 0.044513 1278 8979 0.147203 3 128 0.066602 223.874 5953
2220.53 248.23 1 0.75 1051.1 6727.25 2558 6727.25 599.334 6721.5 6891.75 0.0253292 1599 5548 0.204778 20 711 0.548148 237.245 6956.5
2220.53 496.46 1 0.5 2001.78 6124 477 6124 509.607 6152.5 6205.5 0.00861438 548 9646 0.056934 0 0 0 198.15 6419
2220.53 496.46 1 0.75 2686.67 7251.25 335 7251.25 471.994 6308.75 7388 0.171072 404 8874 0.040912 0 0 0 159.495 7592
2220.53 992.92 1 0.5 2004.72 6124 432 6124 174.366 1896.5 6253.5 2.29739 505 9768 0.049504 0 0 0 101.722 6495.5
2220.53 992.92 1 0.75 2474.92 7251.25 460 7251.75 184.849 2151.75 7442.75 2.45893 501 9384 0.049099 0 0 0 88.9518 7667.75
2220.53 248.23 2 0.5 1629.85 6123.5 3631 6123.5 774.258 6095 6213 0.0193601 2631 3463 0.356722 25 813 0.749593 2826.7 6209
2220.53 248.23 2 0.75 >3600 (0.0189607) 132 7456.5 909.581 6998.25 7507.25 0.0727325 193 2094 0.035256 3 148 0.112568 3600.02 7404.75
2220.53 496.46 2 0.5 >3600 (11.1372) 271 6633 344.982 546.5 6663 11.1921 324 11870 0.036443 0 0 0 549.936 6674
2220.53 496.46 2 0.75 >3600 (26.3895) 284 7929.25 477.297 289.5 7936.5 26.4145 363 7954 0.039031 0 0 0 494.573 7940.5
2220.53 992.92 2 0.5 >3600 (28.9594) 515 6636 390.826 221.5 6651 29.0271 594 16225 0.058517 0 0 0 290.982 6739
2220.53 992.92 2 0.75 >3600 (0.0123271) 419 7924.75 373.134 7909.25 7928.25 0.00240225 495 9703 0.049411 0 0 0 321.257 7973.5
2220.53 248.23 4 0.5 293.169 6201.5 801 6201.5 234.498 6185.5 6251 0.0105893 574 1483 0.056198 14 678 0.187787 227.357 6272.5
2220.53 248.23 4 0.75 >3600 (0.00967356) 1407 7593.25 355.975 7493.5 7658.25 0.0219857 1263 2163 0.258614 6 207 0.20305 3600.02 7544.75
2220.53 496.46 4 0.5 2995.89 6577.5 1040 6577.5 409.174 6577.5 6644 0.0101102 962 17695 0.101114 1 19 0.010725 296.585 6674
2220.53 496.46 4 0.75 3032.83 7892.75 962 7892.75 320.176 356.25 7940 21.2877 874 12536 0.088258 0 0 0 341.23 7940.5
2220.53 992.92 4 0.5 1924.13 6577.5 880 6577.5 246.611 6599 6632.5 0.00507653 829 14495 0.076533 4 166 0.047158 212.576 6739
2220.53 992.92 4 0.75 2967.95 7892.75 1099 7893.25 252.876 612.75 7925.75 11.9347 1055 14386 0.111086 0 0 0 288.931 7973.5
2220.53 248.23 10 0.5 209.007 6224 236 6224 179.668 6193 6254.5 0.00993057 244 909 0.025416 11 312 0.132295 188.161 6288
2220.53 248.23 10 0.75 3527.89 7548.5 4417 7548.5 1364.03 7540 7635 0.0125995 2484 1602 0.47372 41 1540 1.5994 3600.01 7596.5
2220.53 496.46 10 0.5 2535.84 6577.5 647 6578 369.139 813.5 6639.5 7.16165 704 11153 0.073092 0 0 0 303.698 6674
2220.53 496.46 10 0.75 3414.94 7892.75 781 7893.5 259 1686 7946 3.71293 803 14549 0.082794 0 0 0 308.869 7940.5
2220.53 992.92 10 0.5 3031.39 6577.5 1451 6577.5 242.651 1900 6649 2.49947 1269 21261 0.13631 2 37 0.034095 180.095 6739
