L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
1470.24,179.66,1,0.5,2266.71,4019,3292,4019,1122.29,3946.5,4186,0.0606867,2436,5718,0.317555,21,767,0.363288,2087.98,4019
1470.24,179.66,1,0.75,3610.76,4728,7452,4728,1566.09,4627,4966.75,0.0734277,4824,4739,0.659245,19,450,0.410275,3600.11,4688.75
1470.24,359.31,1,0.5,691.59,4429.5,169,4429.5,666.384,4400.5,4481.5,0.018407,190,1756,0.014644,13,408,0.054257,517.147,4471.5
1470.24,359.31,1,0.75,873.397,5286.75,276,5286.75,853.828,5258.25,5332.5,0.0141207,271,2186,0.021264,19,603,0.225177,566.522,5320.5
1470.24,718.62,1,0.5,620.91,4441.5,141,4441.5,598.741,4405,4481.5,0.0173666,168,1108,0.011239,6,63,0.02343,838.851,4508.5
1470.24,718.62,1,0.75,577.547,5290.25,208,5290.5,552.684,5290.25,5346,0.0105383,230,1637,0.01791,13,399,0.04843,457.227,5369.25
1470.24,179.66,2,0.5,>3600,(0.078252),40,4774.5,3239.76,4428,4784.5,0.0805104,92,1049,0.01382,21,804,0.516242,3602.35,4406.5
1470.24,179.66,2,0.75,>3600,(0.0867266),1,6011.5,3558.1,5531.75,6011.5,0.0867266,38,916,0.004548,10,433,0.21217,3600.09,5524
1470.24,359.31,2,0.5,712.279,5064.5,340,5064.5,662.596,5064.5,5101,0.00720703,289,1106,0.018986,10,173,0.041001,694.228,5105.5
1470.24,359.31,2,0.75,632.229,6251.5,1,6251.5,619.156,6251.5,6253.75,0.000359914,152,3006,0.012219,10,230,0.060425,395.483,6262
1470.24,718.62,2,0.5,756.678,5087.5,275,5087.5,708.441,5080,5120.5,0.00797244,284,1868,0.019004,14,298,0.054397,765.731,5129.5
1470.24,718.62,2,0.75,683.431,6261.75,406,6261.75,632.121,6253.25,6284.75,0.00503738,391,2248,0.027339,15,378,0.112307,884.168,6297
1470.24,179.66,3,0.5,>3600,(0.0720225),1,4964,3568.05,4630.5,4964.5,0.0721304,39,1838,0.005584,11,457,0.27291,3684.96,4546
1470.24,179.66,3,0.75,>3600,(0.0901102),31,6233.25,2737.92,5718,6236,0.0905911,60,1882,0.009958,10,376,0.278306,3600.16,5956
1470.24,359.31,3,0.5,465.453,5144.5,1,5144.5,452.652,5144.5,5147,0.000485956,161,859,0.014016,95,2085,0.627437,421.106,5163.5
1470.24,359.31,3,0.75,613.44,6322.75,313,6322.75,582.157,6309.25,6330.5,0.00336807,304,1951,0.023131,14,143,0.169064,483.922,6332.25
1470.24,718.62,3,0.5,656.902,5169,10,5169,644.217,5169,5171.5,0.000483653,89,779,0.005671,31,646,0.097162,756.685,5186.5
1470.24,718.62,3,0.75,626.408,6335,326,6335,574.6,6306.75,6345.75,0.00618385,278,1538,0.018701,0,0,0,581.43,6343.75
1470.24,179.66,8,0.5,>3600,(0.0370642),572,4952.5,2714.92,4775.5,4968,0.0403099,591,3293,0.09412,21,766,0.535955,3600.06,4836.5
1470.24,179.66,8,0.75,>3600,(0.0314567),1,6238.25,3594.54,6048,6238.25,0.0314567,55,1327,0.008767,32,798,0.892155,3600.5,6063.5
1470.24,359.31,8,0.5,486.946,5144.5,293,5144.5,465.46,5131,5159.5,0.00555447,239,897,0.02079,17,396,0.230563,460.554,5163.5
1470.24,359.31,8,0.75,351.02,6322.75,65,6322.75,335.251,6312.75,6329.75,0.00269296,102,919,0.010073,17,407,0.201667,328.732,6332.25
1470.24,718.62,8,0.5,547.825,5169,36,5169.5,536.311,5169,5171.5,0.000483653,114,863,0.006933,26,612,0.072177,452.35,5186.5
1470.24,718.62,8,0.75,520.914,6335,21,6335,508.947,6334.25,6336.25,0.000315744,94,744,0.005839,29,802,0.088281,711.19,6343.75
2940.48,179.66,1,0.5,657.897,6210.5,1,6211,644.406,6210.5,6211.5,0.000161018,68,1034,0.008163,29,1400,0.423282,671.246,6210.5
2940.48,179.66,1,0.75,601.02,6855.75,1,6856,585.672,6855.75,6856,3.64657E-05,44,816,0.005418,21,855,0.237691,602.795,6855.75
2940.48,359.31,1,0.5,722.522,6218.5,1,6219,708.312,6218.5,6219.5,0.00016081,53,508,0.005856,26,887,0.308982,480.545,6222
2940.48,359.31,1,0.75,1299.62,6859.75,1,6859.75,1285.17,6859.75,6860.5,0.000109333,66,785,0.007804,28,1119,0.385717,618.762,6861.5
2940.48,718.62,1,0.5,641.378,6218.5,1,6219,628.446,6218.5,6219.5,0.00016081,71,878,0.006881,27,900,0.269735,472.706,6223
2940.48,718.62,1,0.75,699.269,6859.75,1,6860.25,684.154,6859.75,6860.5,0.000109333,48,800,0.00505,17,744,0.165283,688.175,6862
2940.48,179.66,2,0.5,667.363,6210.5,202,6211,645.511,6185,6219.5,0.0055779,205,1092,0.0249,15,677,0.304408,499.519,6210.5
2940.48,179.66,2,0.75,588.996,6855.75,235,6855.75,565.269,6843.25,6861,0.0025938,213,1076,0.022204,13,454,0.208019,588.773,6855.75
2940.48,359.31,2,0.5,452.368,6218.5,1,6219,437.828,6218.5,6219,8.04052E-05,44,726,0.004779,19,814,0.210571,592.772,6222
2940.48,359.31,2,0.75,797.178,6859.75,1,6860.25,784.072,6859.75,6860.5,0.000109333,56,975,0.005681,18,881,0.219636,510.556,6861.5
2940.48,718.62,2,0.5,835.942,6218.5,1,6219,822.72,6218.5,6219,8.04052E-05,72,943,0.006942,26,1222,0.25318,579.746,6223
2940.48,718.62,2,0.75,918.12,6859.75,1,6860,902.727,6859.75,6860,3.64445E-05,84,747,0.008746,41,1299,0.412487,603.493,6862
2940.48,179.66,3,0.5,578.249,6210.5,1,6211,563.712,6210.5,6211,8.05088E-05,94,1107,0.012977,61,2490,1.0146,580.823,6210.5
2940.48,179.66,3,0.75,633.105,6855.75,330,6856.25,615.562,6852,6863.5,0.00167834,290,909,0.035004,11,578,0.216995,619.706,6855.75
2940.48,359.31,3,0.5,525.976,6218.5,1,6218.5,512.313,6218.5,6220,0.000241216,42,665,0.004481,14,483,0.166087,762.102,6222
2940.48,359.31,3,0.75,818.642,6859.75,1,6860,805.517,6859.75,6860,3.64445E-05,65,685,0.006871,33,1336,0.378035,634.104,6861.5
2940.48,718.62,3,0.5,765.79,6218.5,1,6218.5,752.431,6218.5,6220,0.000241216,49,737,0.004851,14,580,0.157078,624.318,6223
2940.48,718.62,3,0.75,841.474,6859.75,1,6860.25,826.884,6859.75,6860.5,0.000109333,66,857,0.006489,18,746,0.19923,762.866,6862
2940.48,179.66,8,0.5,574.332,6210.5,322,6211,553.976,6183,6224,0.00663109,276,1239,0.03317,7,210,0.123854,517.083,6210.5
2940.48,179.66,8,0.75,618.77,6855.75,1,6855.75,603.453,6855.75,6856.5,0.000109397,36,868,0.004458,7,266,0.085102,596.785,6855.75
2940.48,359.31,8,0.5,734.142,6218.5,1,6218.5,719.571,6218.5,6219.5,0.00016081,49,883,0.005173,13,449,0.159377,483.155,6222
2940.48,359.31,8,0.75,580.47,6859.75,1,6860.25,567.25,6859.75,6860.5,0.000109333,23,507,0.002222,6,365,0.054997,548.003,6861.5
2940.48,718.62,8,0.5,819.985,6218.5,1,6218.5,804.679,6218.5,6220,0.000241216,55,1189,0.005924,10,408,0.13406,589.424,6223
2940.48,718.62,8,0.75,818.094,6859.75,1,6860.25,804.383,6859.75,6860.5,0.000109333,99,1195,0.010281,48,1406,0.481928,608.635,6862
4410.72,179.66,1,0.5,501.563,7085,1,7085,488.314,7085,7085,0,80,1373,0.010485,43,2036,0.764114,385.988,7111
4410.72,179.66,1,0.75,550.73,7293,42,7293.25,536.721,7291.25,7295,0.000514315,106,1036,0.014149,32,1464,0.640387,412.197,7306
4410.72,359.31,1,0.5,753.536,7085,42,7085,737.652,7080.5,7088.5,0.00112986,130,2530,0.017639,24,928,0.49002,296.685,7111
4410.72,359.31,1,0.75,374.591,7293,60,7293,360.235,7292,7295.5,0.000479978,111,1215,0.013902,34,1309,0.610961,260.771,7306
4410.72,718.62,1,0.5,603.14,7085,1,7085,589.816,7085,7087,0.000282287,111,3137,0.013615,25,1003,0.465389,301.173,7111
4410.72,718.62,1,0.75,375.786,7293,166,7293,357.428,7291.5,7294.5,0.000411438,224,2549,0.030907,31,1379,0.633032,251.094,7306
4410.72,179.66,2,0.5,576.925,7085,42,7085.5,562.996,7079,7089.5,0.00148326,95,1377,0.012648,26,1009,0.479586,506.993,7111
4410.72,179.66,2,0.75,572.842,7293,1,7293.25,559.741,7293,7294,0.000137118,65,1196,0.008933,24,1089,0.500058,424.224,7306
4410.72,359.31,2,0.5,315.188,7085,1,7085,302.092,7085,7087,0.000282287,60,1304,0.007592,17,950,0.32314,229.044,7111
4410.72,359.31,2,0.75,370.333,7293,1,7293.25,356.588,7293,7294,0.000137118,76,1593,0.009759,20,979,0.380681,257.854,7306
4410.72,718.62,2,0.5,995.22,7085,1,7085,980.112,7085,7087,0.000282287,131,3312,0.017045,35,1441,0.624051,311.367,7111
4410.72,718.62,2,0.75,622.51,7293,1,7293,609.578,7293,7293.75,0.000102838,109,2682,0.013465,30,1847,0.52163,242.749,7306
4410.72,179.66,3,0.5,661.248,7085,86,7085.5,643.923,7079,7089.5,0.00148326,131,1917,0.018506,29,1358,0.589434,511.739,7111
4410.72,179.66,3,0.75,591.72,7293,6,7293,577.22,7292,7293.5,0.000205705,65,987,0.008777,27,975,0.538533,443.915,7306
4410.72,359.31,3,0.5,615.809,7085,1,7085,602.027,7085,7088,0.00042343,71,1964,0.00902,13,647,0.248681,365.501,7111
4410.72,359.31,3,0.75,363.893,7293,1,7293,350.847,7293,7293.75,0.000102838,68,1567,0.008477,20,566,0.349826,350.164,7306
4410.72,718.62,3,0.5,759.738,7085,171,7085,644.88,7071.5,7098.5,0.00381814,256,4745,0.036484,5,314,0.114557,307.55,7111
4410.72,718.62,3,0.75,512.067,7293,150,7293.25,487.921,7282.5,7296.75,0.00195675,207,4039,0.027217,10,455,0.190725,372.045,7306
4410.72,179.66,8,0.5,608.691,7085,488,7085,579.532,7060,7093.5,0.00474504,500,3175,0.065897,22,849,0.480306,513.247,7111
4410.72,179.66,8,0.75,602.398,7293,35,7293,588.884,7291.5,7293.25,0.000240005,98,1334,0.013026,31,1465,0.54649,467.595,7306
4410.72,359.31,8,0.5,341.1,7085,1,7085.5,326.634,7085,7087,0.000282287,63,1558,0.008451,13,535,0.268429,228.222,7111
4410.72,359.31,8,0.75,507.094,7293,1,7293,494.022,7293,7293.75,0.000102838,82,1434,0.010903,33,1378,0.620682,401.228,7306
4410.72,718.62,8,0.5,641.32,7085,1,7085.5,626.8,7085,7088,0.00042343,93,2523,0.012032,22,919,0.413331,337.129,7111
4410.72,718.62,8,0.75,519.133,7293,1,7293.25,503.911,7293,7294,0.000137118,96,1898,0.012967,34,1492,0.666338,253.32,7306
