L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
1470 179.66 1 0.5 783.986 4019 778 4019 742.519 4019 4166.89 0.0367966
1470.24 179.66 1 0.75 2253.01 4728 4163 4728 1370.54 4710.25 4998.28 0.061149
1470.24 359.31 1 0.5 836.744 4429.5 255 4429.5 817.691 4364 4485.9 0.0279327
1470.24 359.31 1 0.75 1132.81 5286.75 185 5286.75 1117.09 5238.25 5331.63 0.0178267
1470.24 718.62 1 0.5 644.876 4441.5 104 4441.5 630.613 4425.5 4481.83 0.012728
1470.24 718.62 1 0.75 753.44 5290.25 54 5290.25 742.385 5290.25 5343.43 0.0100521
1470.24 179.66 2 0.5 >3600 (0.0555576) 128 4769.54 2487.56 4363.5 4813.79 0.103195
1470.24 179.66 2 0.75 >3600 (0.0997728) 1 6010.81 3240.38 5465.5 6010.81 0.0997728
1470.24 359.31 2 0.5 607.104 5064.5 215 5064.5 591.619 5060.5 5097.25 0.00726305
1470.24 359.31 2 0.75 678.366 6251.5 20 6251.5 667.196 6245.7 6255.05 0.00149784
1470.24 718.62 2 0.5 517.527 5087.5 296 5087.68 498.351 5066 5117.31 0.0101286
1470.24 718.62 2 0.75 802.869 6261.75 125 6261.75 783.522 6222.25 6284.64 0.0100274
1470.24 179.66 3 0.5 >3600 (0.0487769) 115 4962.29 2396.3 4670.5 4977.18 0.0656627
1470.24 179.66 3 0.75 >3600 (0.0342339) 453 6237.72 1218.96 5691.25 6243.87 0.0971006
1470.24 359.31 3 0.5 559.383 5144.5 1 5144.5 546.791 5144.5 5145.79 0.000250442
1470.24 359.31 3 0.75 555.753 6322.75 232 6322.75 533.744 6301.25 6332.69 0.00498997
1470.24 718.62 3 0.5 594.256 5169 8 5169 582.453 5167 5170.74 0.000724103
1470.24 718.62 3 0.75 493.464 6335 1 6335 482.444 6335 6336.56 0.000245499
1470.24 179.66 8 0.5 2840.2 4836.5 2834 4836.5 1581.64 4753 4987.33 0.049301
1470.24 179.66 8 0.75 >3600 (0.0279498) 87 6229.38 1105.59 5988.5 6246.37 0.0430605
1470.24 359.31 8 0.5 525.539 5144.5 1 5144.5 513.695 5144.5 5145.39 0.000172178
1470.24 359.31 8 0.75 487.685 6322.75 1 6322.75 475.587 6322.75 6323.34 9.37498e-05
1470.24 718.62 8 0.5 469.216 5169 1 5169 458.341 5169 5171.91 0.000562673
1470.24 718.62 8 0.75 458.067 6335 1 6335 447.157 6335 6335.29 4.54739e-05
2940.48 179.66 1 0.5 957.751 6210.5 1 6211.12 943.877 6210.5 6211.14 0.000103243
2940.48 179.66 1 0.75 491.098 6855.75 1 6855.75 478.225 6855.75 6855.99 3.57301e-05
2940.48 359.31 1 0.5 1075.98 6218.5 1 6219.07 1063.43 6218.5 6219.13 0.000101147
2940.48 359.31 1 0.75 904.225 6859.75 1 6860.19 890.493 6859.75 6860.19 6.42522e-05
2940.48 718.62 1 0.5 571.871 6218.5 60 6218.75 559.188 6217 6219.91 0.000467599
