L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
6483.15,850.59,1,0.5,2897.56,5383.5,1748,5383.5,1563.65,5343,5601.5,0.0483811,1087,5568,0.1701,13,588,0.544436,3600.03,5470
6483.15,850.59,1,0.75,>3600,(0.00512307),1096,6523.5,2313.6,6438.75,6742.75,0.0472141,784,4330,0.156109,12,577,0.592954,3600.05,6517.25
6483.15,1701.17,1,0.5,1979.86,5656.5,261,5656.5,1927.36,5645.5,5677.5,0.00566823,309,2599,0.025277,24,582,0.228105,1111.32,5910.5
6483.15,1701.17,1,0.75,2508.27,6836.25,669,6836.25,2463.71,6833.25,6861.25,0.00409761,572,2084,0.045413,29,1065,0.226106,1163.13,7111.75
6483.15,3402.34,1,0.5,3611.3,5656.5,490,5656.5,2376.45,1561,5797,2.71365,516,5634,0.05053,0,0,0,987.528,5986
6483.15,3402.34,1,0.75,>3600,(2.4123),55,6935.5,2422.63,2032.5,6965.75,2.42718,150,5657,0.015093,0,0,0,1220.02,7196.75
6483.15,850.59,2,0.5,>3600,(0.0853425),1,6505,3149.64,5993.5,6505,0.0853425,34,2056,0.006116,0,0,0,3615.73,6068
6483.15,850.59,2,0.75,>3600,(0.101715),1,8221,3572.03,7462,8221.25,0.101749,23,853,0.004028,4,130,0.185872,3620.16,7833
6483.15,1701.17,2,0.5,1643.56,6599,236,6599,1572.78,6596,6622,0.00394178,303,1598,0.025389,28,811,0.213724,911.165,6755
6483.15,1701.17,2,0.75,2457.21,8255.75,153,8255.75,2405.83,8247.5,8263.5,0.00193998,218,2169,0.018011,9,279,0.066957,1576.04,8361.75
6483.15,3402.34,2,0.5,>3600,(1.68092),22,6675.5,3055.7,2490,6686,1.68514,89,2988,0.008038,0,0,0,2259.72,6791.5
6483.15,3402.34,2,0.75,>3600,(8.19048),3,8299,3260.19,903,8311.5,8.20432,68,3274,0.00541,0,0,0,1828.04,8397.25
6483.15,850.59,4,0.5,>3600,(0.0472056),1,6633,3394.32,6334,6633,0.0472056,32,1012,0.004809,1,78,0.038056,3600.13,6365.5
6483.15,850.59,4,0.75,>3600,(0.0134979),1,8315.75,3532.74,8205,8315.75,0.0134979,38,1138,0.007106,8,214,0.414083,3608.74,7901
6483.15,1701.17,4,0.5,1562.98,6692,442,6692,1467.03,6685.5,6731.5,0.00688056,392,3233,0.04001,13,323,0.233486,636.063,6797.5
6483.15,1701.17,4,0.75,1244.37,8359,384,8359,1165.84,8355.75,8375.5,0.00236364,367,2864,0.037646,3,67,0.026715,719.263,8411.75
6483.15,3402.34,4,0.5,>3600,(0.89156),30,6768,2603.28,3578,6774,0.893236,143,5276,0.012373,0,0,0,1476.94,6831
