L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
6483 850.59 1 0.5 1857.43 5383.5 1106 5383.5 1702.61 5376 5543.93 0.0312362
6483.15 850.59 1 0.75 3404.39 6494.75 1329 6494.75 3198.45 6453 6662.44 0.0324562
6483.15 1701.17 1 0.5 2267.8 5656.5 345 5656.5 2213.12 5596.5 5686.46 0.0160749
6483.15 1701.17 1 0.75 1704.48 6836.25 109 6836.25 1659.61 6836.25 6875.92 0.00580317
6483.15 3402.34 1 0.5 2605.22 5656.5 249 5656.5 2020.89 3565.5 5741.09 0.610178
6483.15 3402.34 1 0.75 2339.03 6836.25 321 6836.25 2279.07 6799.5 6907.66 0.0159066
6483.15 850.59 2 0.5 >3600 (0.0452021) 1 6435.31 3340.04 6157 6435.31 0.0452021
6483.15 850.59 2 0.75 >3600 (0.0753574) 33 8201.48 2990.45 7626.75 8217.02 0.0773951
6483.15 1701.17 2 0.5 1732.21 6599 181 6599 1675.88 6572.5 6622.41 0.00759376
6483.15 1701.17 2 0.75 1769.12 8255.75 19 8256.39 1718.44 8255.75 8258.82 0.000372092
6483.15 3402.34 2 0.5 2366.89 6599 276 6599 1378.49 658 6674.17 9.14311
6483.15 3402.34 2 0.75 3603.66 8255.75 656 8255.75 2051.65 6821.5 8301.71 0.216991
6483.15 850.59 4 0.5 >3600 (0.0271951) 214 6594.59 3186.64 6416 6605.33 0.0295091
6483.15 850.59 4 0.75 >3600 (0.0180128) 1 8315.13 3460.75 8168 8315.13 0.0180128
6483.15 1701.17 4 0.5 1583.62 6692 288 6692 1534.97 6683 6711.02 0.0041932
6483.15 1701.17 4 0.75 1386.81 8359 384 8359 1336.74 8355 8371.81 0.00201242
6483.15 3402.34 4 0.5 2020.87 6701.5 150 6702.04 1433.56 6342 6749.3 0.0642232
6483.15 3402.34 4 0.75 2183.23 8363.75 238 8363.75 1235.31 1600.5 8402.72 4.25006
6483.15 850.59 10 0.5 >3600 (0.0169905) 201 6592.13 2949.02 6358 6599.83 0.0380351
6483.15 850.59 10 0.75 >3600 (0.0177248) 66 8309.47 2998.6 8159 8319.79 0.0197074
6483.15 1701.17 10 0.5 1567.99 6692 386 6692 1518.98 6681.5 6710.79 0.00438354
6483.15 1701.17 10 0.75 1634.78 8359 311 8359 1585.12 8356.25 8371.15 0.0017834
6483.15 3402.34 10 0.5 2421.96 6701.5 424 6701.5 1618.24 2363.5 6769.85 1.86433
6483.15 3402.34 10 0.75 1866.05 8363.75 146 8364.45 1315.79 3461.25 8397.4 1.42612
12966.3 850.59 1 0.5 3073.07 8229 517 8229.62 1930.34 8155 8305.24 0.0184231
12966.3 850.59 1 0.75 >3600 (0.0172016) 1 9163.21 3588.2 9008.25 9163.21 0.0172016
12966.3 1701.17 1 0.5 3454.88 8234 1040 8234 1775.59 6595.5 8329.07 0.262841
12966.3 1701.17 1 0.75 3272.18 9130 981 9130 2019.89 8942.5 9170.4 0.025485
12966.3 3402.34 1 0.5 >3600 (0.0184126) 726 8304.65 1112.46 3418.5 8324.96 1.43527
12966.3 3402.34 1 0.75 >3600 (0.0076096) 976 9172.52 1196.4 4708.25 9180.75 0.949929
12966.3 850.59 2 0.5 >3600 (0.00798298) 271 8288.64 2327.44 7925.5 8311.92 0.0487571
12966.3 850.59 2 0.75 3176.05 9130 874 9130.76 1984.21 9131.25 9168 0.00402496
12966.3 1701.17 2 0.5 3147.42 8234 1210 8234.66 1752.58 7920 8315.16 0.049894
12966.3 1701.17 2 0.75 >3600 (0.00917018) 236 9149.64 1600.21 8953.25 9173.02 0.0245468
12966.3 3402.34 2 0.5 >3600 (0.00349773) 1340 8248.75 1210.59 6107.5 8327.16 0.363431
- - - - - - - - - - - -
12966.3 850.59 4 0.5 2816.3 8234 1443 8234 2528.87 8179 8266.91 0.0107479
12966.3 850.59 4 0.75 2568.41 9130 562 9130.26 1652.54 5758.25 9172.59 0.592948
12966.3 1701.17 4 0.5 >3600 (0.0105233) 237 8286.29 3250.84 8047 8290.92 0.0303115
12966.3 1701.17 4 0.75 2935.9 9130 1088 9130 1941.83 8857.75 9161.68 0.0343125
12966.3 3402.34 4 0.5 2981.79 8234 1535 8234 1080.34 8145.5 8326.58 0.0222312
12966.3 3402.34 4 0.75 3023.63 9130 1307 9130 840.072 7664.25 9183.41 0.198214
12966.3 850.59 10 0.5 2106.29 8234 1488 8234 1877.91 8191 8256.25 0.0079661
12966.3 850.59 10 0.75 3196.43 9130 605 9130.33 1853.55 9011.5 9167.47 0.0173075
12966.3 1701.17 10 0.5 3046.54 8234 1380 8234 1556.1 8047.5 8321.03 0.0339891
12966.3 1701.17 10 0.75 >3600 (0.00678467) 406 9147.9 2094.01 8983.75 9169.51 0.020677
12966.3 3402.34 10 0.5 >3600 (0.00128552) 1902 8242.08 1083.15 5939.5 8333.55 0.403072
12966.3 3402.34 10 0.75 3227.33 9130 2568 9130 930.214 9043 9181.52 0.015318
19449.5 850.59 1 0.5 2769.55 9464.5 2986 9465.28 1407.91 9466 9493.8 0.00293726
- - - - - - - - - - - -
19449.5 1701.17 1 0.5 >3600 (0.00023798) 2140 9466.75 1082.85 9481.5 9505.23 0.00250308
19449.5 1701.17 1 0.75 2620.29 9745.25 2456 9745.25 1209.86 9745.5 9764.78 0.00197795
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 850.59 2 0.75 >3600 (0.00720522) 497 9765.36 1273.87 9712.5 9766.52 0.00556196
19449.5 1701.17 2 0.5 >3600 (0.00806324) 577 9474.28 1336.61 9464 9504.96 0.00432809
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 1701.17 4 0.5 >3600 (0.0124215) 626 9494.49 1341.13 9465 9500.89 0.0037915
19449.5 1701.17 4 0.75 >3600 (0.00466635) 1047 9751.79 1433.77 8043.25 9763.53 0.213879
- - - - - - - - - - - -
- - - - - - - - - - - -
19449.5 850.59 10 0.5 >3600 (0.0119812) 686 9483.78 1016.6 2112.5 9511.1 3.50229
19449.5 850.59 10 0.75 >3600 (0.00090977) 2126 9749.86 1130.96 9750.5 9762.41 0.00122132
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
- - - - - - - - - - - -
