L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
158.82 16.74 1 0.5 160.395 1266 304 1266.08 132.345 1255 1280.31 0.0201701
158.82 16.74 1 0.75 266.477 1494.25 390 1494.25 139.82 1320.25 1531.33 0.15988
158.82 33.47 1 0.5 208.72 1344 708 1344 98.2279 822 1361.97 0.656895
158.82 33.47 1 0.75 113.474 1601.5 280 1601.5 96.6136 1601.5 1613.39 0.00742731
158.82 66.49 1 0.5 200.981 1350.5 413 1350.5 82.0738 1163 1369.78 0.177798
158.82 66.49 1 0.75 245.063 1602.25 1089 1602.27 51.5819 123.5 1635.64 12.244
158.82 16.74 2 0.5 358.621 1447.5 602 1447.64 263.235 1431.5 1467.38 0.0250679
158.82 16.74 2 0.75 922.467 1775.25 1479 1775.25 283.587 1586.25 1822.67 0.149042
158.82 33.47 2 0.5 174.75 1532 765 1532 143.527 1532 1540.96 0.00584551
158.82 33.47 2 0.75 279.064 1878 471 1878 161.54 1856.25 1884.33 0.0151289
158.82 66.49 2 0.5 338.909 1541 652 1541 97.1125 1413.5 1554.77 0.0999427
158.82 66.49 2 0.75 321.399 1885 1174 1885 76.2158 1705 1894.01 0.110859
158.82 16.74 3 0.5 458.212 1475 1256 1475 153.079 1422.5 1503.83 0.0571765
158.82 16.74 3 0.75 918.285 1847.25 2132 1847.25 159.488 1743.5 1866.29 0.0704266
158.82 33.47 3 0.5 188.617 1544 158 1544.14 117.291 1283.5 1548.32 0.206326
158.82 33.47 3 0.75 111.511 1889.5 7 1889.61 98.0498 1887 1890.01 0.00159574
158.82 66.49 3 0.5 177.521 1550.5 509 1550.5 64.738 1355 1557.91 0.14975
158.82 66.49 3 0.75 174.844 1892.75 243 1892.92 80.0006 1843.25 1896.32 0.0287894
158.82 16.74 8 0.5 411.079 1478 613 1478 236.599 1453.5 1503.36 0.0343037
158.82 16.74 8 0.75 689.816 1848.25 2033 1848.25 174.093 1800.25 1867.09 0.037128
158.82 33.47 8 0.5 126.403 1544 72 1544.14 113.044 1541 1546.75 0.00373126
158.82 33.47 8 0.75 174.578 1889.5 228 1889.57 91.0918 1199.25 1893.57 0.578961
158.82 66.49 8 0.5 162.187 1550.5 578 1550.5 58.8183 1405 1560.16 0.110432
158.82 66.49 8 0.75 222.235 1892.75 363 1892.75 89.7962 1814.5 1897.25 0.045603
317.64 16.74 1 0.5 172.989 1887 380 1887.12 76.69 1433.5 1893.31 0.320759
317.64 16.74 1 0.75 120.221 2061 730 2061 96.186 2059.5 2062.97 0.00168442
317.64 33.47 1 0.5 222.246 1889 449 1889 75.146 1889.5 1899.02 0.0050382
317.64 33.47 1 0.75 223.257 2062 526 2062.15 129.619 2057.25 2064.85 0.00369294
317.64 66.49 1 0.5 242.015 1889 609 1889.19 55.714 1886.5 1898.04 0.00611468
317.64 66.49 1 0.75 213.159 2062 650 2062.19 69.2554 814 2066.79 1.53905
