L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
158.82,16.74,1,0.5,359.814,1266,537,1266,250.456,1244.5,1286.5,0.0337485,509,1067,0.060316,13,473,0.239075,371.428,1295.5
158.82,16.74,1,0.75,592.95,1494.25,1074,1494.25,209.881,1386.75,1540.25,0.11069,846,1277,0.091868,8,206,0.135379,1338.56,1524.75
158.82,33.47,1,0.5,187.129,1344,768,1344,150.916,1335.5,1354,0.0138525,602,2751,0.038147,8,148,0.055004,66.7364,1390.5
158.82,33.47,1,0.75,191.691,1601.5,173,1601.5,173.565,1601.5,1607.75,0.00390259,249,2040,0.016549,5,110,0.034613,79.2743,1647.75
158.82,66.49,1,0.5,297.296,1350.5,629,1350.5,88.8147,864,1373,0.58912,660,2689,0.042092,0,0,0,43.8989,1417.5
158.82,66.49,1,0.75,554.834,1602.25,1705,1602.25,121.667,1102.75,1627,0.475402,1589,5089,0.098189,0,0,0,39.3718,1671
158.82,16.74,2,0.5,759.643,1447.5,539,1447.5,348.127,1348.5,1472,0.0915832,539,609,0.062211,10,294,0.192568,2673.47,1451.5
158.82,16.74,2,0.75,2022.49,1775.25,2350,1775.25,486.659,1616.5,1820.75,0.126353,1842,1528,0.253341,14,463,0.256816,3600.04,1784.25
158.82,33.47,2,0.5,351.48,1532,800,1532,271.286,1527,1537.5,0.00687623,686,2707,0.045054,22,420,0.133273,141.706,1558.5
158.82,33.47,2,0.75,358.202,1878,387,1878,258.57,1870,1883,0.00695187,372,2296,0.025941,14,383,0.163745,183.91,1892.75
158.82,66.49,2,0.5,967.106,1541,354,1541,213.924,206.5,1555,6.53027,420,4396,0.03084,0,0,0,101.605,1582
158.82,66.49,2,0.75,702.371,1885,1190,1885,194.686,113.75,1892.25,15.6352,941,3799,0.059609,0,0,0,88.6446,1908.5
158.82,16.74,3,0.5,2495.67,1475,8067,1475,179.593,1376,1509.5,0.0970203,4912,533,0.750227,11,430,0.238247,3600.02,1479
158.82,16.74,3,0.75,>3600,(0.0101805),2345,1860.5,217.168,1654,1872,0.131802,2168,332,0.348152,16,416,0.358085,3600.02,1847.5
158.82,33.47,3,0.5,124.902,1544,361,1544,97.2537,1539.5,1549,0.00617083,372,1901,0.025158,4,168,0.030307,109.655,1559
158.82,33.47,3,0.75,309.26,1889.5,177,1889.5,157.922,1231.5,1893.25,0.537353,229,2339,0.018795,0,0,0,99.8333,1895.5
158.82,66.49,3,0.5,328.606,1550.5,202,1550.5,158.888,791.5,1556,0.965888,293,3049,0.021491,0,0,0,73.6445,1583
158.82,66.49,3,0.75,166.647,1892.75,39,1892.75,152.343,1892.75,1893.5,0.000396249,172,2897,0.010539,28,809,0.146406,76.3209,1909
158.82,16.74,8,0.5,708.576,1478,1318,1478,176.569,1426,1506,0.056101,1060,399,0.157268,10,407,0.236387,3600.08,1479
158.82,16.74,8,0.75,2136.69,1848.25,4623,1848.25,211.035,1775.75,1868.25,0.0520907,3345,503,0.518051,13,462,0.275812,3601.39,1847.5
158.82,33.47,8,0.5,154.578,1544,211,1544,136.192,1541.5,1547,0.00356795,245,1781,0.016795,12,357,0.121797,111.685,1559
158.82,33.47,8,0.75,177.162,1889.5,1,1889.5,162.867,1889.5,1890,0.00026462,88,1777,0.005735,5,156,0.030045,111.6,1895.5
158.82,66.49,8,0.5,334.345,1550.5,255,1550.5,113.124,209,1559.5,6.46172,328,3671,0.025275,0,0,0,64.2414,1583
158.82,66.49,8,0.75,227.986,1892.75,190,1892.75,99.8178,375.5,1896.25,4.04993,249,2919,0.018955,0,0,0,68.7762,1909
317.64,16.74,1,0.5,118.071,1887,224,1887,103.206,1887,1890.5,0.0018548,268,1925,0.027507,19,490,0.266925,60.3904,1911
317.64,16.74,1,0.75,115.256,2061,302,2061,96.9077,2061,2062.75,0.000849102,268,2050,0.030943,19,590,0.359261,40.2845,2073
317.64,33.47,1,0.5,116.049,1889,444,1889,97.896,1889,1892.5,0.00185283,401,2634,0.048504,18,822,0.356524,49.4134,1919
317.64,33.47,1,0.75,126.478,2062,478,2062,106.162,2061.25,2064.5,0.00157671,455,3244,0.04903,11,409,0.183421,51.309,2077
317.64,66.49,1,0.5,202.734,1889,270,1889,78.9167,1892.5,1896.5,0.00211361,347,3659,0.037818,5,156,0.065085,40.5397,1920
317.64,66.49,1,0.75,253.053,2062,217,2062,115.49,996.5,2064.5,1.07175,343,4309,0.03662,5,109,0.065735,46.2658,2077.5
317.64,16.74,2,0.5,115.386,1887,140,1887,99.8856,1887,1889.5,0.00132485,184,1494,0.019134,19,603,0.291823,55.9749,1911
317.64,16.74,2,0.75,97.2101,2061,355,2061,79.1,2061,2063.25,0.0010917,298,1531,0.034783,23,889,0.398797,44.7722,2073
317.64,33.47,2,0.5,233.245,1889,454,1889,66.4282,228,1901,7.33772,509,3813,0.058099,0,0,0,63.6165,1919
